                                     | Core 0    
  Instructions                       |      13991
  Cycles                             |      47880
  IPC                                |       0.29
  Time (ns)                          |      18000
  Idle time (ns)                     |        -42
  Idle time (%)                      |      -0.2%
Branch predictor stats               |           
  num correct                        |       2352
  num incorrect                      |        177
  misprediction rate                 |      7.00%
  mpki                               |      12.65
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |       2270
    num misses                       |         24
    miss rate                        |      1.06%
    mpki                             |       1.72
  D-TLB                              |           
    num accesses                     |       6223
    num misses                       |        322
    miss rate                        |      5.17%
    mpki                             |      23.01
  L2 TLB                             |           
    num accesses                     |        346
    num misses                       |        153
    miss rate                        |     44.22%
    mpki                             |      10.94
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |       2270
    num cache misses                 |         78
    miss rate                        |      3.44%
    mpki                             |       5.58
  Cache L1-D                         |           
    num cache accesses               |       6223
    num cache misses                 |        449
    miss rate                        |      7.22%
    mpki                             |      32.09
  Cache L2                           |           
    num cache accesses               |        646
    num cache misses                 |        527
    miss rate                        |     81.58%
    mpki                             |      37.67
  Cache L3                           |           
    num cache accesses               |        646
    num cache misses                 |        527
    miss rate                        |     81.58%
    mpki                             |      37.67
DRAM summary                         |           
  num dram accesses                  |        527
  average dram access latency (ns)   |      87.21
  average dram queueing delay        |      33.78
  average dram bandwidth utilization |     24.00%
Coherency Traffic                    |           
  num loads from dram                |        373
  num loads from dram cache          |          0
  num loads from remote cache        |          0
