                                     | Core 0    
  Instructions                       |      90154
  Cycles                             |     215460
  IPC                                |       0.42
  Time (ns)                          |      81000
  Idle time (ns)                     |        -41
  Idle time (%)                      |      -0.1%
Branch predictor stats               |           
  num correct                        |      10589
  num incorrect                      |       1285
  misprediction rate                 |     10.82%
  mpki                               |      14.25
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |      14156
    num misses                       |        111
    miss rate                        |      0.78%
    mpki                             |       1.23
  D-TLB                              |           
    num accesses                     |      39965
    num misses                       |        752
    miss rate                        |      1.88%
    mpki                             |       8.34
  L2 TLB                             |           
    num accesses                     |        863
    num misses                       |        342
    miss rate                        |     39.63%
    mpki                             |       3.79
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |      14156
    num cache misses                 |       1510
    miss rate                        |     10.67%
    mpki                             |      16.75
  Cache L1-D                         |           
    num cache accesses               |      39965
    num cache misses                 |        842
    miss rate                        |      2.11%
    mpki                             |       9.34
  Cache L2                           |           
    num cache accesses               |       2422
    num cache misses                 |       1475
    miss rate                        |     60.90%
    mpki                             |      16.36
  Cache L3                           |           
    num cache accesses               |       1545
    num cache misses                 |       1474
    miss rate                        |     95.40%
    mpki                             |      16.35
DRAM summary                         |           
  num dram accesses                  |       1474
  average dram access latency (ns)   |     101.11
  average dram queueing delay        |      47.68
  average dram bandwidth utilization |     15.00%
Coherency Traffic                    |           
  num loads from dram                |        635
  num loads from dram cache          |          0
  num loads from remote cache        |          0
