                                     | Core 0     
  Instructions                       |  1000002960
  Cycles                             |  2978113922
  IPC                                |        0.34
  Time (ns)                          |  1119591700
  Idle time (ns)                     |          -2
  Idle time (%)                      |       -0.0%
Branch predictor stats               |            
  num correct                        |    50013924
  num incorrect                      |      420841
  misprediction rate                 |       0.83%
  mpki                               |        0.42
TLB Summary                          |            
  I-TLB                              |            
    num accesses                     |    99973284
    num misses                       |          22
    miss rate                        |       0.00%
    mpki                             |        0.00
  D-TLB                              |            
    num accesses                     |   289950318
    num misses                       |     8522615
    miss rate                        |       2.94%
    mpki                             |        8.52
  L2 TLB                             |            
    num accesses                     |     8522637
    num misses                       |     1019915
    miss rate                        |      11.97%
    mpki                             |        1.02
Cache Summary                        |            
  Cache L1-I                         |            
    num cache accesses               |    99973284
    num cache misses                 |       43603
    miss rate                        |       0.04%
    mpki                             |        0.04
  Cache L1-D                         |            
    num cache accesses               |   289950318
    num cache misses                 |    13610539
    miss rate                        |       4.69%
    mpki                             |       13.61
  Cache L2                           |            
    num cache accesses               |    14340513
    num cache misses                 |     7530788
    miss rate                        |      52.51%
    mpki                             |        7.53
  Cache L3                           |            
    num cache accesses               |     8217189
    num cache misses                 |     6354712
    miss rate                        |      77.33%
    mpki                             |        6.35
DRAM summary                         |            
  num dram accesses                  |     9314125
  average dram access latency (ns)   |       54.21
  average dram queueing delay        |        0.79
  average dram bandwidth utilization |       7.00%
Coherency Traffic                    |            
  num loads from dram                |     4327397
  num loads from dram cache          |           0
  num loads from remote cache        |           0
