                                     | Core 0     | Core 1    
  Instructions                       |     382183 |     379755
  Cycles                             |     738829 |     738829
  IPC                                |       0.52 |       0.51
  Time (ns)                          |     277755 |     277755
  Idle time (ns)                     |      99318 |     100364
  Idle time (%)                      |      35.8% |      36.1%
Branch predictor stats               |            |           
  num correct                        |      45796 |      45382
  num incorrect                      |        241 |        254
  misprediction rate                 |      0.52% |      0.56%
  mpki                               |       0.63 |       0.67
TLB Summary                          |            |           
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |      98062 |      97267
    num cache misses                 |         14 |         17
    miss rate                        |      0.01% |      0.02%
    mpki                             |       0.04 |       0.04
  Cache L1-D                         |            |           
    num cache accesses               |     223122 |     221920
    num cache misses                 |       4165 |       4296
    miss rate                        |      1.87% |      1.94%
    mpki                             |      10.90 |      11.31
  Cache L2                           |            |           
    num cache accesses               |       4325 |       4327
    num cache misses                 |         24 |         10
    miss rate                        |      0.55% |      0.23%
    mpki                             |       0.06 |       0.03
  Cache L3                           |            |           
    num cache accesses               |         26 |         13
    num cache misses                 |         24 |         10
    miss rate                        |     92.31% |     76.92%
    mpki                             |       0.06 |       0.03
DRAM summary                         |            |           
  num dram accesses                  |         31 |          0
  average dram access latency (ns)   |     100.42 |        inf
  average dram queueing delay        |      46.99 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |          5 |          4
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
