                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |     587821 |     582988 |     581434 |     527008
  Cycles                             |    1234297 |    1234297 |    1234297 |    1234297
  IPC                                |       0.48 |       0.47 |       0.47 |       0.43
  Time (ns)                          |     464022 |     464022 |     464022 |     464022
  Idle time (ns)                     |     100879 |     103849 |     105654 |     144085
  Idle time (%)                      |      21.7% |      22.4% |      22.8% |      31.1%
Branch predictor stats               |            |            |            |           
  num correct                        |      80053 |      79214 |      78991 |      69951
  num incorrect                      |        257 |        293 |        260 |        229
  misprediction rate                 |      0.32% |      0.37% |      0.33% |      0.33%
  mpki                               |       0.44 |       0.50 |       0.45 |       0.43
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |     166608 |     165002 |     164495 |     146353
    num cache misses                 |         14 |         18 |         17 |         17
    miss rate                        |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.02 |       0.03 |       0.03 |       0.03
  Cache L1-D                         |            |            |            |           
    num cache accesses               |     325941 |     323521 |     322757 |     295544
    num cache misses                 |      65259 |      62161 |      63200 |      54022
    miss rate                        |     20.02% |     19.21% |     19.58% |     18.28%
    mpki                             |     111.02 |     106.62 |     108.70 |     102.51
  Cache L2                           |            |            |            |           
    num cache accesses               |      65377 |      62282 |      63311 |      54111
    num cache misses                 |         12 |         18 |          8 |          6
    miss rate                        |      0.02% |      0.03% |      0.01% |      0.01%
    mpki                             |       0.02 |       0.03 |       0.01 |       0.01
  Cache L3                           |            |            |            |           
    num cache accesses               |         13 |         20 |         10 |          8
    num cache misses                 |         12 |         18 |          8 |          6
    miss rate                        |     92.31% |     90.00% |     80.00% |     75.00%
    mpki                             |       0.02 |       0.03 |       0.01 |       0.01
DRAM summary                         |            |            |            |           
  num dram accesses                  |         40 |          0 |          0 |          0
  average dram access latency (ns)   |     119.01 |        inf |        inf |        inf
  average dram queueing delay        |      65.58 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          4 |          3 |          3 |          2
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
