                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |    3700731 |    4150386 |    4741776 |    3938256 |    4308954 |    4624218 |    4311380 |    5728918
  Cycles                             |   30193706 |   30193706 |   30193706 |   30193706 |   30193706 |   30193706 |   30193706 |   30193706
  IPC                                |       0.12 |       0.14 |       0.16 |       0.13 |       0.14 |       0.15 |       0.14 |       0.19
  Time (ns)                          |   11351017 |   11351017 |   11351017 |   11351017 |   11351017 |   11351017 |   11351017 |   11351017
  Idle time (ns)                     |    1629191 |     736388 |     118133 |    2721346 |     320662 |     448060 |    1928972 |     102021
  Idle time (%)                      |      14.4% |       6.5% |       1.0% |      24.0% |       2.8% |       3.9% |      17.0% |       0.9%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |     493912 |     568823 |     667374 |     533498 |     595246 |     647812 |     595714 |     831858
  num incorrect                      |        217 |        253 |        267 |        223 |        258 |        236 |        194 |        306
  misprediction rate                 |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.03% |      0.04%
  mpki                               |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.05 |       0.04 |       0.05
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |     994248 |    1144145 |    1341275 |    1073435 |    1197001 |    1302089 |    1197809 |    1670319
    num cache misses                 |         16 |         17 |         17 |         17 |         17 |         17 |         17 |         16
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |    2107397 |    2332233 |    2627928 |    2226168 |    2411517 |    2569149 |    2412730 |    3121498
    num cache misses                 |     518432 |     484069 |     523712 |     411784 |     512288 |     538638 |     476212 |     586092
    miss rate                        |     24.60% |     20.76% |     19.93% |     18.50% |     21.24% |     20.97% |     19.74% |     18.78%
    mpki                             |     140.09 |     116.63 |     110.45 |     104.56 |     118.89 |     116.48 |     110.45 |     102.30
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |     518460 |     484096 |     523736 |     411812 |     512363 |     538708 |     476279 |     586194
    num cache misses                 |     296674 |     261490 |     268980 |     191140 |     284367 |     267744 |     219749 |     246229
    miss rate                        |     57.22% |     54.02% |     51.36% |     46.41% |     55.50% |     49.70% |     46.14% |     42.00%
    mpki                             |      80.17 |      63.00 |      56.73 |      48.53 |      65.99 |      57.90 |      50.97 |      42.98
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |     296675 |     261493 |     268983 |     191143 |     284414 |     267791 |     219794 |     246299
    num cache misses                 |         18 |          5 |          6 |          6 |          8 |          5 |         12 |          5
    miss rate                        |      0.01% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.01% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |         56 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     148.81 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      95.38 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          4 |          3 |          5 |          3 |          4 |          3 |          6 |          4
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
