                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |     581787 |     568161 |     556592 |     623393 |     609764 |     593841 |     534675 |     640514 |     440252 |     520225 |     587113 |     471716 |     604208 |     577402 |     483484 |     596347
  Cycles                             |    8811993 |    8811993 |    8811993 |    8811993 |    8811993 |    8811993 |    8811993 |    8811993 |    8811993 |    8811993 |    8811993 |    8811993 |    8811993 |    8811993 |    8811993 |    8811993
  IPC                                |       0.07 |       0.06 |       0.06 |       0.07 |       0.07 |       0.07 |       0.06 |       0.07 |       0.05 |       0.06 |       0.07 |       0.05 |       0.07 |       0.07 |       0.05 |       0.07
  Time (ns)                          |    3312780 |    3312780 |    3312780 |    3312780 |    3312780 |    3312780 |    3312780 |    3312780 |    3312780 |    3312780 |    3312780 |    3312780 |    3312780 |    3312780 |    3312780 |    3312780
  Idle time (ns)                     |     378974 |     283224 |     342237 |       4572 |      43101 |     103128 |     503860 |      14738 |    1344371 |     673395 |     215874 |     990356 |     111176 |     239243 |     860138 |     129676
  Idle time (%)                      |      11.4% |       8.5% |      10.3% |       0.1% |       1.3% |       3.1% |      15.2% |       0.4% |      40.6% |      20.3% |       6.5% |      29.9% |       3.4% |       7.2% |      26.0% |       3.9%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |      79134 |      76881 |      74940 |      86099 |      83787 |      81161 |      71279 |      88882 |      55545 |      68895 |      80052 |      60778 |      82849 |      78447 |      62738 |      81558
  num incorrect                      |        171 |        154 |        168 |        142 |        183 |        154 |        175 |        212 |        173 |        156 |        147 |        184 |        195 |        132 |        188 |        180
  misprediction rate                 |      0.22% |      0.20% |      0.22% |      0.16% |      0.22% |      0.19% |      0.24% |      0.24% |      0.31% |      0.23% |      0.18% |      0.30% |      0.23% |      0.17% |      0.30% |      0.22%
  mpki                               |       0.29 |       0.27 |       0.30 |       0.23 |       0.30 |       0.26 |       0.33 |       0.33 |       0.39 |       0.30 |       0.25 |       0.39 |       0.32 |       0.23 |       0.39 |       0.30
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     164600 |     160064 |     156211 |     178475 |     173935 |     168624 |     148902 |     184182 |     117431 |     144098 |     166394 |     127919 |     172083 |     163151 |     131845 |     169472
    num cache misses                 |         16 |         17 |         17 |         16 |         17 |         17 |         17 |         17 |         17 |         16 |         16 |         17 |         17 |         17 |         17 |         16
    miss rate                        |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.04 |       0.03 |       0.03 |       0.04 |       0.03 |       0.03 |       0.04 |       0.03
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     322925 |     316114 |     310338 |     343738 |     336924 |     328954 |     299371 |     352291 |     252168 |     292156 |     325599 |     267900 |     334146 |     320742 |     273783 |     330217
    num cache misses                 |      84009 |      72414 |      70530 |      79884 |      79108 |      77369 |      67623 |      79356 |      53761 |      61929 |      72348 |      53154 |      75403 |      71800 |      56290 |      74460
    miss rate                        |     26.02% |     22.91% |     22.73% |     23.24% |     23.48% |     23.52% |     22.59% |     22.53% |     21.32% |     21.20% |     22.22% |     19.84% |     22.57% |     22.39% |     20.56% |     22.55%
    mpki                             |     144.40 |     127.45 |     126.72 |     128.14 |     129.74 |     130.29 |     126.47 |     123.89 |     122.11 |     119.04 |     123.23 |     112.68 |     124.80 |     124.35 |     116.43 |     124.86
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      84150 |      72512 |      70631 |      80007 |      79223 |      77456 |      67767 |      79466 |      53855 |      62030 |      72455 |      53255 |      75521 |      71904 |      56402 |      74570
    num cache misses                 |      84025 |      72431 |      70547 |      79900 |      79125 |      77386 |      67641 |      79373 |      53778 |      61945 |      72364 |      53171 |      75420 |      71817 |      56307 |      74476
    miss rate                        |     99.85% |     99.89% |     99.88% |     99.87% |     99.88% |     99.91% |     99.81% |     99.88% |     99.86% |     99.86% |     99.87% |     99.84% |     99.87% |     99.88% |     99.83% |     99.87%
    mpki                             |     144.43 |     127.48 |     126.75 |     128.17 |     129.76 |     130.31 |     126.51 |     123.92 |     122.15 |     119.07 |     123.25 |     112.72 |     124.82 |     124.38 |     116.46 |     124.89
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      84150 |      72512 |      70631 |      80007 |      79223 |      77456 |      67767 |      79466 |      53855 |      62030 |      72455 |      53255 |      75521 |      71904 |      56402 |      74570
    num cache misses                 |      32888 |      40128 |      39052 |      43118 |      42907 |      42672 |      37405 |      43746 |      22511 |      36968 |      44872 |      31490 |      46537 |      43451 |      32939 |      46009
    miss rate                        |     39.08% |     55.34% |     55.29% |     53.89% |     54.16% |     55.09% |     55.20% |     55.05% |     41.80% |     59.60% |     61.93% |     59.13% |     61.62% |     60.43% |     58.40% |     61.70%
    mpki                             |      56.53 |      70.63 |      70.16 |      69.17 |      70.37 |      71.86 |      69.96 |      68.30 |      51.13 |      71.06 |      76.43 |      66.76 |      77.02 |      75.25 |      68.13 |      77.15
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |         88 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     220.25 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |     166.82 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |          3 |          5 |          4 |          6 |          3 |          3 |          3 |          5 |          3 |          3 |          3 |          3 |          3 |          3 |          3 |          3
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |      25595 |      30171 |      29583 |      33008 |      32304 |      32185 |      27750 |      32196 |      17043 |      26623 |      31503 |      23181 |      32321 |      31123 |      24115 |      31898
