                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |   24253926 |   23488027 |   25482970 |   25942885
  Cycles                             |   13609291 |   13609291 |   13609291 |   13609291
  IPC                                |       1.78 |       1.73 |       1.87 |       1.91
  Time (ns)                          |    5116275 |    5116275 |    5116275 |    5116275
  Idle time (ns)                     |     354536 |     470835 |     169484 |      99825
  Idle time (%)                      |       6.9% |       9.2% |       3.3% |       2.0%
Branch predictor stats               |            |            |            |           
  num correct                        |    4682825 |    4529670 |    4928629 |    5020602
  num incorrect                      |        366 |        347 |        377 |        383
  misprediction rate                 |      0.01% |      0.01% |      0.01% |      0.01%
  mpki                               |       0.02 |       0.01 |       0.01 |       0.01
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |    9372372 |    9066027 |    9864005 |   10047963
    num cache misses                 |         16 |         17 |         17 |         16
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |           
    num cache accesses               |   14674583 |   14215057 |   15412023 |   15687971
    num cache misses                 |    4615510 |    4380939 |    4584908 |    4627223
    miss rate                        |     31.45% |     30.82% |     29.75% |     29.50%
    mpki                             |     190.30 |     186.52 |     179.92 |     178.36
  Cache L2                           |            |            |            |           
    num cache accesses               |    4615622 |    4381035 |    4584995 |    4627330
    num cache misses                 |         22 |         10 |          8 |          5
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  Cache L3                           |            |            |            |           
    num cache accesses               |         24 |         13 |         11 |          8
    num cache misses                 |         22 |         10 |          8 |          5
    miss rate                        |     91.67% |     76.92% |     72.73% |     62.50%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
DRAM summary                         |            |            |            |           
  num dram accesses                  |         39 |          0 |          0 |          0
  average dram access latency (ns)   |     116.07 |        inf |        inf |        inf
  average dram queueing delay        |      62.64 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          5 |          4 |          3 |          3
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
