                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |     130917 |     133655 |     123167 |     132123 |     130060 |     123366 |     135170 |     142862
  Cycles                             |    1124362 |    1124362 |    1124362 |    1124362 |    1124362 |    1124362 |    1124362 |    1124362
  IPC                                |       0.12 |       0.12 |       0.11 |       0.12 |       0.12 |       0.11 |       0.12 |       0.13
  Time (ns)                          |     422693 |     422693 |     422693 |     422693 |     422693 |     422693 |     422693 |     422693
  Idle time (ns)                     |     101110 |     109454 |     167453 |     136245 |     103490 |     150280 |     129943 |     112973
  Idle time (%)                      |      23.9% |      25.9% |      39.6% |      32.2% |      24.5% |      35.6% |      30.7% |      26.7%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |      16855 |      17386 |      15335 |      17125 |      16709 |      15334 |      17748 |      19264
  num incorrect                      |        133 |        157 |        113 |        114 |        116 |        151 |        101 |        123
  misprediction rate                 |      0.78% |      0.89% |      0.73% |      0.66% |      0.69% |      0.98% |      0.57% |      0.63%
  mpki                               |       1.02 |       1.17 |       0.92 |       0.86 |       0.89 |       1.22 |       0.75 |       0.86
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |      39964 |      41075 |      36887 |      40469 |      39639 |      36960 |      41689 |      44765
    num cache misses                 |         14 |         17 |         16 |         16 |         16 |         16 |         16 |         16
    miss rate                        |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04% |      0.04%
    mpki                             |       0.11 |       0.13 |       0.13 |       0.12 |       0.12 |       0.13 |       0.12 |       0.11
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |      81975 |      83628 |      77340 |      82713 |      81472 |      77457 |      84541 |      89157
    num cache misses                 |      18507 |      15767 |      13451 |      15323 |      15120 |      13831 |      15672 |      16645
    miss rate                        |     22.58% |     18.85% |     17.39% |     18.53% |     18.56% |     17.86% |     18.54% |     18.67%
    mpki                             |     141.36 |     117.97 |     109.21 |     115.98 |     116.25 |     112.11 |     115.94 |     116.51
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |      18581 |      15847 |      13521 |      15418 |      15161 |      13895 |      15706 |      16713
    num cache misses                 |      11287 |       8854 |       6921 |       7859 |       9719 |       8138 |       8472 |       8697
    miss rate                        |     60.74% |     55.87% |     51.19% |     50.97% |     64.11% |     58.57% |     53.94% |     52.04%
    mpki                             |      86.21 |      66.25 |      56.19 |      59.48 |      74.73 |      65.97 |      62.68 |      60.88
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |      11332 |       8905 |       6967 |       7916 |       9739 |       8172 |       8490 |       8720
    num cache misses                 |         24 |          6 |          5 |          5 |          4 |          6 |          5 |          4
    miss rate                        |      0.21% |      0.07% |      0.07% |      0.06% |      0.04% |      0.07% |      0.06% |      0.05%
    mpki                             |       0.18 |       0.04 |       0.04 |       0.04 |       0.03 |       0.05 |       0.04 |       0.03
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |         56 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     195.63 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |     142.20 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          6 |          4 |          3 |          4 |          3 |          5 |          3 |          3
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
