                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |    3976521 |    2920958 |    3880551 |    3934655 |    3577230 |    3876340 |    3636320 |    3911507 |    4028860 |    3880545 |    3507255 |    3838083 |    4128965 |    3254335 |    4062895 |    4348130
  Cycles                             |   63899795 |   63899795 |   63899795 |   63899795 |   63899795 |   63899795 |   63899795 |   63899795 |   63899795 |   63899795 |   63899795 |   63899795 |   63899795 |   63899795 |   63899795 |   63899795
  IPC                                |       0.06 |       0.05 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.06 |       0.05 |       0.06 |       0.06 |       0.05 |       0.06 |       0.07
  Time (ns)                          |   24022480 |   24022480 |   24022480 |   24022480 |   24022480 |   24022480 |   24022480 |   24022480 |   24022480 |   24022480 |   24022480 |   24022480 |   24022480 |   24022480 |   24022480 |   24022480
  Idle time (ns)                     |    1581604 |    9081863 |    1000256 |     611372 |    3322379 |    1027372 |    2783899 |     586343 |    1321227 |    1470583 |    4149653 |    1449428 |      36274 |    6286709 |     101290 |       4559
  Idle time (%)                      |       6.6% |      37.8% |       4.2% |       2.5% |      13.8% |       4.3% |      11.6% |       2.4% |       5.5% |       6.1% |      17.3% |       6.0% |       0.2% |      26.2% |       0.4% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |     627524 |     416450 |     608326 |     619145 |     547660 |     607474 |     559488 |     614502 |     637981 |     608337 |     533685 |     599818 |     658017 |     483109 |     644773 |     701831
  num incorrect                      |        186 |        156 |        192 |        193 |        193 |        201 |        190 |        208 |        198 |        186 |        180 |        207 |        183 |        170 |        213 |        202
  misprediction rate                 |      0.03% |      0.04% |      0.03% |      0.03% |      0.04% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.04% |      0.03% |      0.03%
  mpki                               |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.04 |       0.05 |       0.05 |       0.05
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    1261410 |     839208 |    1223030 |    1244670 |    1101700 |    1221344 |    1125351 |    1235415 |    1282352 |    1223041 |    1073725 |    1206045 |    1322394 |     972551 |    1295966 |    1410058
    num cache misses                 |         16 |         16 |         17 |         17 |         17 |         17 |         16 |         17 |         17 |         16 |         16 |         17 |         17 |         16 |         17 |         17
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.01 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    2508140 |    1874821 |    2450563 |    2483023 |    2268568 |    2448034 |    2304036 |    2469145 |    2539546 |    2450571 |    2226597 |    2425091 |    2599609 |    2074843 |    2559967 |    2731109
    num cache misses                 |     639464 |     342219 |     547522 |     557167 |     487684 |     551754 |     504873 |     556250 |     647034 |     539130 |     458953 |     527959 |     570688 |     408223 |     569690 |     565868
    miss rate                        |     25.50% |     18.25% |     22.34% |     22.44% |     21.50% |     22.54% |     21.91% |     22.53% |     25.48% |     22.00% |     20.61% |     21.77% |     21.95% |     19.67% |     22.25% |     20.72%
    mpki                             |     160.81 |     117.16 |     141.09 |     141.61 |     136.33 |     142.34 |     138.84 |     142.21 |     160.60 |     138.93 |     130.86 |     137.56 |     138.22 |     125.44 |     140.22 |     130.14
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     639513 |     342272 |     547580 |     557222 |     487745 |     551822 |     504932 |     556317 |     647104 |     539188 |     459006 |     528023 |     570744 |     408278 |     569745 |     565926
    num cache misses                 |     639480 |     342235 |     547539 |     557184 |     487701 |     551771 |     504889 |     556269 |     647051 |     539146 |     458969 |     527976 |     570705 |     408239 |     569707 |     565885
    miss rate                        |     99.99% |     99.99% |     99.99% |     99.99% |     99.99% |     99.99% |     99.99% |     99.99% |     99.99% |     99.99% |     99.99% |     99.99% |     99.99% |     99.99% |     99.99% |     99.99%
    mpki                             |     160.81 |     117.17 |     141.10 |     141.61 |     136.33 |     142.34 |     138.85 |     142.21 |     160.60 |     138.94 |     130.86 |     137.56 |     138.22 |     125.44 |     140.22 |     130.14
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     639513 |     342272 |     547580 |     557222 |     487745 |     551822 |     504932 |     556317 |     647104 |     539188 |     459006 |     528023 |     570744 |     408278 |     569745 |     565926
    num cache misses                 |     253258 |     186061 |     299927 |     307603 |     265228 |     300707 |     276191 |     312628 |     259684 |     292589 |     254858 |     289959 |     310746 |     224273 |     310566 |     309575
    miss rate                        |     39.60% |     54.36% |     54.77% |     55.20% |     54.38% |     54.49% |     54.70% |     56.20% |     40.13% |     54.26% |     55.52% |     54.91% |     54.45% |     54.93% |     54.51% |     54.70%
    mpki                             |      63.69 |      63.70 |      77.29 |      78.18 |      74.14 |      77.57 |      75.95 |      79.93 |      64.46 |      75.40 |      72.67 |      75.55 |      75.26 |      68.92 |      76.44 |      71.20
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |         88 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     221.77 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |     168.34 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |          3 |          4 |          5 |          5 |          3 |          3 |          3 |          4 |          3 |          3 |          3 |          3 |          3 |          5 |          4 |          4
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |     199836 |     141567 |     229118 |     232619 |     203673 |     228045 |     208072 |     231002 |     202679 |     219978 |     192122 |     220620 |     233264 |     170052 |     230501 |     229033
