                                     | Core 0    
  Instructions                       |     188045
  Cycles                             |     483245
  IPC                                |       0.39
  Time (ns)                          |     181671
  Idle time (ns)                     |      97581
  Idle time (%)                      |      53.7%
Branch predictor stats               |           
  num correct                        |      14006
  num incorrect                      |          8
  misprediction rate                 |      0.06%
  mpki                               |       0.04
TLB Summary                          |           
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |      31017
    num cache misses                 |         14
    miss rate                        |      0.05%
    mpki                             |       0.07
  Cache L1-D                         |           
    num cache accesses               |     126053
    num cache misses                 |         10
    miss rate                        |      0.01%
    mpki                             |       0.05
  Cache L2                           |           
    num cache accesses               |         26
    num cache misses                 |         24
    miss rate                        |     92.31%
    mpki                             |       0.13
  Cache L3                           |           
    num cache accesses               |         26
    num cache misses                 |         24
    miss rate                        |     92.31%
    mpki                             |       0.13
DRAM summary                         |           
  num dram accesses                  |         24
  average dram access latency (ns)   |     121.90
  average dram queueing delay        |      68.47
  average dram bandwidth utilization |      0.00%
Coherency Traffic                    |           
  num loads from dram                |          6
  num loads from dram cache          |          0
  num loads from remote cache        |          0
