                                     | Core 0     | Core 1    
  Instructions                       |    7152450 |    7685137
  Cycles                             |    6934712 |    6934712
  IPC                                |       1.03 |       1.11
  Time (ns)                          |    2607035 |    2607035
  Idle time (ns)                     |     198347 |      98531
  Idle time (%)                      |       7.6% |       3.8%
Branch predictor stats               |            |           
  num correct                        |    1552214 |    1685373
  num incorrect                      |        394 |        397
  misprediction rate                 |      0.03% |      0.02%
  mpki                               |       0.06 |       0.05
TLB Summary                          |            |           
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |    3108185 |    3374509
    num cache misses                 |         16 |         17
    miss rate                        |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00
  Cache L1-D                         |            |           
    num cache accesses               |    3833251 |    4099583
    num cache misses                 |       2510 |       2712
    miss rate                        |      0.07% |      0.07%
    mpki                             |       0.35 |       0.35
  Cache L2                           |            |           
    num cache accesses               |       3546 |       3548
    num cache misses                 |         21 |         10
    miss rate                        |      0.59% |      0.28%
    mpki                             |       0.00 |       0.00
  Cache L3                           |            |           
    num cache accesses               |         23 |         13
    num cache misses                 |         21 |         10
    miss rate                        |     91.30% |     76.92%
    mpki                             |       0.00 |       0.00
DRAM summary                         |            |           
  num dram accesses                  |         31 |          0
  average dram access latency (ns)   |     108.39 |        inf
  average dram queueing delay        |      54.96 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |          5 |          4
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
