                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |   19091529 |   20025775 |   19033142 |   18941323
  Cycles                             |   13156821 |   13156821 |   13156821 |   13156821
  IPC                                |       1.45 |       1.52 |       1.45 |       1.44
  Time (ns)                          |    4946173 |    4946173 |    4946173 |    4946173
  Idle time (ns)                     |     274775 |     100888 |     283905 |     302485
  Idle time (%)                      |       5.6% |       2.0% |       5.7% |       6.1%
Branch predictor stats               |            |            |            |           
  num correct                        |    4536543 |    4770156 |    4521908 |    4498976
  num incorrect                      |        825 |        776 |        868 |        849
  misprediction rate                 |      0.02% |      0.02% |      0.02% |      0.02%
  mpki                               |       0.04 |       0.04 |       0.05 |       0.04
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |    9077679 |    9544807 |    9048501 |    9002595
    num cache misses                 |         16 |         15 |         16 |         16
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |           
    num cache accesses               |    9802784 |   10269917 |    9773602 |    9727690
    num cache misses                 |       7062 |       7199 |       6995 |       6802
    miss rate                        |      0.07% |      0.07% |      0.07% |      0.07%
    mpki                             |       0.37 |       0.36 |       0.37 |       0.36
  Cache L2                           |            |            |            |           
    num cache accesses               |       8318 |       8055 |       8017 |       7830
    num cache misses                 |         18 |         11 |          7 |         12
    miss rate                        |      0.22% |      0.14% |      0.09% |      0.15%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  Cache L3                           |            |            |            |           
    num cache accesses               |         19 |         15 |         10 |         15
    num cache misses                 |         18 |         11 |          7 |         12
    miss rate                        |     94.74% |     73.33% |     70.00% |     80.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
DRAM summary                         |            |            |            |           
  num dram accesses                  |         38 |          0 |          0 |          0
  average dram access latency (ns)   |     112.81 |        inf |        inf |        inf
  average dram queueing delay        |      59.38 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          3 |          6 |          3 |          3
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
