                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |   43422414 |   41927293 |   39196258 |   39711541 |   42950913 |   44396981 |   44937629 |   45858478
  Cycles                             |   26306811 |   26306811 |   26306811 |   26306811 |   26306811 |   26306811 |   26306811 |   26306811
  IPC                                |       1.65 |       1.59 |       1.49 |       1.51 |       1.63 |       1.69 |       1.71 |       1.74
  Time (ns)                          |    9889779 |    9889779 |    9889779 |    9889779 |    9889779 |    9889779 |    9889779 |    9889779
  Idle time (ns)                     |     486213 |     809817 |    1336753 |    1237767 |     610951 |     340380 |     253672 |     101123
  Idle time (%)                      |       4.9% |       8.2% |      13.5% |      12.5% |       6.2% |       3.4% |       2.6% |       1.0%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |   10619043 |   10245361 |    9562614 |    9691427 |   10501252 |   10862690 |   10997951 |   11228154
  num incorrect                      |       1035 |        945 |        928 |        942 |        948 |       1028 |        946 |        943
  misprediction rate                 |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
  mpki                               |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |   21243069 |   20495549 |   19130012 |   19387677 |   21007321 |   21730355 |   22000730 |   22461106
    num cache misses                 |         16 |         17 |         16 |         16 |         17 |         17 |         16 |         15
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |   21968219 |   21220659 |   19855143 |   20112785 |   21732466 |   22455501 |   22725840 |   23186248
    num cache misses                 |      10874 |      10636 |      10172 |      10293 |      10866 |      11305 |      11183 |      10945
    miss rate                        |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05%
    mpki                             |       0.25 |       0.25 |       0.26 |       0.26 |       0.25 |       0.25 |       0.25 |       0.24
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |      12502 |      11704 |      11237 |      11376 |      11866 |      12261 |      12122 |      11746
    num cache misses                 |       3116 |       1311 |        879 |        759 |       2683 |       2158 |       1558 |       1078
    miss rate                        |     24.92% |     11.20% |      7.82% |      6.67% |     22.61% |     17.60% |     12.85% |      9.18%
    mpki                             |       0.07 |       0.03 |       0.02 |       0.02 |       0.06 |       0.05 |       0.03 |       0.02
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |       4376 |       2030 |       1578 |       1513 |       3240 |       2686 |       2053 |       1517
    num cache misses                 |          8 |          9 |         18 |         10 |          9 |         10 |          5 |         10
    miss rate                        |      0.18% |      0.44% |      1.14% |      0.66% |      0.28% |      0.37% |      0.24% |      0.66%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |         56 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     185.34 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |     131.91 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          2 |          5 |          6 |          2 |          6 |          5 |          3 |          2
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
