                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |     802142 |     691621 |     703563 |     735238 |     792861 |     775113 |     677611 |     623868 |     669434 |     712489 |     798828 |     786243 |     647764 |     813596 |     787550 |     762006
  Cycles                             |    1794071 |    1794071 |    1794071 |    1794071 |    1794071 |    1794071 |    1794071 |    1794071 |    1794071 |    1794071 |    1794071 |    1794071 |    1794071 |    1794071 |    1794071 |    1794071
  IPC                                |       0.45 |       0.39 |       0.39 |       0.41 |       0.44 |       0.43 |       0.38 |       0.35 |       0.37 |       0.40 |       0.45 |       0.44 |       0.36 |       0.45 |       0.44 |       0.42
  Time (ns)                          |     674463 |     674463 |     674463 |     674463 |     674463 |     674463 |     674463 |     674463 |     674463 |     674463 |     674463 |     674463 |     674463 |     674463 |     674463 |     674463
  Idle time (ns)                     |      19667 |     142675 |      99514 |      54417 |      13533 |       8877 |     117528 |     192197 |     137628 |     129582 |      10091 |      51185 |     168438 |      19050 |       4559 |      29641
  Idle time (%)                      |       2.9% |      21.2% |      14.8% |       8.1% |       2.0% |       1.3% |      17.4% |      28.5% |      20.4% |      19.2% |       1.5% |       7.6% |      25.0% |       2.8% |       0.7% |       4.4%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |     187341 |     159785 |     162735 |     170692 |     185110 |     180541 |     156329 |     142934 |     154117 |     165055 |     186679 |     183377 |     148777 |     190281 |     183867 |     177303
  num incorrect                      |        428 |        367 |        401 |        360 |        348 |        468 |        320 |        278 |        478 |        320 |        285 |        424 |        406 |        369 |        265 |        448
  misprediction rate                 |      0.23% |      0.23% |      0.25% |      0.21% |      0.19% |      0.26% |      0.20% |      0.19% |      0.31% |      0.19% |      0.15% |      0.23% |      0.27% |      0.19% |      0.14% |      0.25%
  mpki                               |       0.53 |       0.53 |       0.57 |       0.49 |       0.44 |       0.60 |       0.47 |       0.45 |       0.71 |       0.45 |       0.36 |       0.54 |       0.63 |       0.45 |       0.34 |       0.59
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     378475 |     323258 |     329233 |     345064 |     373876 |     364946 |     316263 |     289390 |     312134 |     333707 |     376900 |     370556 |     301324 |     384256 |     371230 |     358454
    num cache misses                 |         16 |         15 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         15 |         15 |         16 |         16 |         15 |         16 |         15
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.01% |      0.01% |      0.01% |      0.00% |      0.00% |      0.00% |      0.01% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.03 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     410589 |     355342 |     361315 |     377144 |     405956 |     397074 |     348340 |     321461 |     344238 |     365775 |     408951 |     402645 |     333407 |     416331 |     403301 |     390535
    num cache misses                 |      12835 |      10238 |      10853 |      11760 |      12490 |      12614 |      10467 |       9182 |      10326 |      10463 |      12770 |      11697 |       9309 |      12338 |      12406 |      11698
    miss rate                        |      3.13% |      2.88% |      3.00% |      3.12% |      3.08% |      3.18% |      3.00% |      2.86% |      3.00% |      2.86% |      3.12% |      2.91% |      2.79% |      2.96% |      3.08% |      3.00%
    mpki                             |      16.00 |      14.80 |      15.43 |      15.99 |      15.75 |      16.27 |      15.45 |      14.72 |      15.42 |      14.69 |      15.99 |      14.88 |      14.37 |      15.16 |      15.75 |      15.35
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      13807 |      11209 |      11840 |      12673 |      13440 |      13468 |      11393 |      10139 |      11430 |      11420 |      13632 |      12630 |      10299 |      13308 |      13020 |      12636
    num cache misses                 |      12853 |      10256 |      10871 |      11777 |      12514 |      12636 |      10489 |       9205 |      10343 |      10482 |      12788 |      11716 |       9329 |      12356 |      12428 |      11717
    miss rate                        |     93.09% |     91.50% |     91.82% |     92.93% |     93.11% |     93.82% |     92.07% |     90.79% |     90.49% |     91.79% |     93.81% |     92.76% |     90.58% |     92.85% |     95.45% |     92.73%
    mpki                             |      16.02 |      14.83 |      15.45 |      16.02 |      15.78 |      16.30 |      15.48 |      14.75 |      15.45 |      14.71 |      16.01 |      14.90 |      14.40 |      15.19 |      15.78 |      15.38
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      13807 |      11209 |      11840 |      12673 |      13440 |      13468 |      11393 |      10139 |      11430 |      11420 |      13632 |      12630 |      10299 |      13308 |      13020 |      12636
    num cache misses                 |       8745 |       6861 |       7120 |       7775 |       8424 |       8371 |       6818 |       6161 |       7167 |       7200 |       8631 |       7785 |       6095 |       8317 |       8195 |       8037
    miss rate                        |     63.34% |     61.21% |     60.14% |     61.35% |     62.68% |     62.15% |     59.84% |     60.77% |     62.70% |     63.05% |     63.31% |     61.64% |     59.18% |     62.50% |     62.94% |     63.60%
    mpki                             |      10.90 |       9.92 |      10.12 |      10.57 |      10.62 |      10.80 |      10.06 |       9.88 |      10.71 |      10.11 |      10.80 |       9.90 |       9.41 |      10.22 |      10.41 |      10.55
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |         87 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     229.35 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
