                                     | Core 0    
  Instructions                       |     187045
  Cycles                             |     482979
  IPC                                |       0.39
  Time (ns)                          |     181571
  Idle time (ns)                     |      97601
  Idle time (%)                      |      53.8%
Branch predictor stats               |           
  num correct                        |      14006
  num incorrect                      |          8
  misprediction rate                 |      0.06%
  mpki                               |       0.04
TLB Summary                          |           
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |      31016
    num cache misses                 |         13
    miss rate                        |      0.04%
    mpki                             |       0.07
  Cache L1-D                         |           
    num cache accesses               |     126053
    num cache misses                 |         10
    miss rate                        |      0.01%
    mpki                             |       0.05
  Cache L2                           |           
    num cache accesses               |         25
    num cache misses                 |         23
    miss rate                        |     92.00%
    mpki                             |       0.12
  Cache L3                           |           
    num cache accesses               |         25
    num cache misses                 |         23
    miss rate                        |     92.00%
    mpki                             |       0.12
DRAM summary                         |           
  num dram accesses                  |         23
  average dram access latency (ns)   |     130.39
  average dram queueing delay        |      76.96
  average dram bandwidth utilization |      0.00%
Coherency Traffic                    |           
  num loads from dram                |          6
  num loads from dram cache          |          0
  num loads from remote cache        |          0
