                                     | Core 0     | Core 1    
  Instructions                       |    7857853 |    6392629
  Cycles                             |    7008731 |    7008731
  IPC                                |       1.12 |       0.91
  Time (ns)                          |    2634861 |    2634861
  Idle time (ns)                     |      99289 |     373744
  Idle time (%)                      |       3.8% |      14.2%
Branch predictor stats               |            |           
  num correct                        |    1728932 |    1362616
  num incorrect                      |        283 |        301
  misprediction rate                 |      0.02% |      0.02%
  mpki                               |       0.04 |       0.05
TLB Summary                          |            |           
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |    3461414 |    2728817
    num cache misses                 |         13 |         16
    miss rate                        |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00
  Cache L1-D                         |            |           
    num cache accesses               |    4186457 |    3453855
    num cache misses                 |       2538 |       2399
    miss rate                        |      0.06% |      0.07%
    mpki                             |       0.32 |       0.38
  Cache L2                           |            |           
    num cache accesses               |       3343 |       3345
    num cache misses                 |         23 |          9
    miss rate                        |      0.69% |      0.27%
    mpki                             |       0.00 |       0.00
  Cache L3                           |            |           
    num cache accesses               |         25 |         12
    num cache misses                 |         23 |          9
    miss rate                        |     92.00% |     75.00%
    mpki                             |       0.00 |       0.00
DRAM summary                         |            |           
  num dram accesses                  |         30 |          0
  average dram access latency (ns)   |      97.45 |        inf
  average dram queueing delay        |      44.03 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |          5 |          4
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
