                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |   19814063 |   20136836 |   18928503 |   19926506
  Cycles                             |   13210818 |   13210818 |   13210818 |   13210818
  IPC                                |       1.50 |       1.52 |       1.43 |       1.51
  Time (ns)                          |    4966473 |    4966473 |    4966473 |    4966473
  Idle time (ns)                     |     159834 |     100842 |     329149 |     143167
  Idle time (%)                      |       3.2% |       2.0% |       6.6% |       2.9%
Branch predictor stats               |            |            |            |           
  num correct                        |    4717423 |    4798197 |    4496102 |    4745664
  num incorrect                      |        832 |        759 |        768 |        714
  misprediction rate                 |      0.02% |      0.02% |      0.02% |      0.02%
  mpki                               |       0.04 |       0.04 |       0.04 |       0.04
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |    9439442 |    9600872 |    8996688 |    9495727
    num cache misses                 |         15 |         15 |         16 |         16
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |           
    num cache accesses               |   10164563 |   10325957 |    9721786 |   10220795
    num cache misses                 |       7168 |       7212 |       6909 |       7029
    miss rate                        |      0.07% |      0.07% |      0.07% |      0.07%
    mpki                             |       0.36 |       0.36 |       0.37 |       0.35
  Cache L2                           |            |            |            |           
    num cache accesses               |       8462 |       8218 |       7947 |       8028
    num cache misses                 |         16 |         12 |          8 |          8
    miss rate                        |      0.19% |      0.15% |      0.10% |      0.10%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  Cache L3                           |            |            |            |           
    num cache accesses               |         17 |         16 |         11 |         11
    num cache misses                 |         16 |         12 |          8 |          8
    miss rate                        |     94.12% |     75.00% |     72.73% |     72.73%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
DRAM summary                         |            |            |            |           
  num dram accesses                  |         38 |          0 |          0 |          0
  average dram access latency (ns)   |     112.81 |        inf |        inf |        inf
  average dram queueing delay        |      59.38 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          2 |          6 |          4 |          3
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
