                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |    3000103 |    3619924 |    3888015 |    3809209 |    3495178 |    3115889 |    3711852 |    3070885
  Cycles                             |    2670830 |    2670830 |    2670830 |    2670830 |    2670830 |    2670830 |    2670830 |    2670830
  IPC                                |       1.12 |       1.36 |       1.46 |       1.43 |       1.31 |       1.17 |       1.39 |       1.15
  Time (ns)                          |    1004072 |    1004072 |    1004072 |    1004072 |    1004072 |    1004072 |    1004072 |    1004072
  Idle time (ns)                     |     185553 |     130192 |     101076 |     115471 |     145052 |     224328 |     134380 |     266872
  Idle time (%)                      |      18.5% |      13.0% |      10.1% |      11.5% |      14.4% |      22.3% |      13.4% |      26.6%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |     716585 |     871383 |     938432 |     918781 |     840166 |     745499 |     894394 |     734261
  num incorrect                      |        685 |        833 |        800 |        750 |        859 |        705 |        804 |        707
  misprediction rate                 |      0.10% |      0.10% |      0.09% |      0.08% |      0.10% |      0.09% |      0.09% |      0.10%
  mpki                               |       0.23 |       0.23 |       0.21 |       0.20 |       0.25 |       0.23 |       0.22 |       0.23
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |    1437494 |    1747358 |    1881386 |    1841988 |    1684967 |    1495337 |    1793335 |    1472890
    num cache misses                 |         15 |         16 |         17 |         17 |         16 |         17 |         16 |         16
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.01 |       0.00 |       0.01
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |    1532582 |    1842492 |    1976526 |    1937122 |    1780118 |    1590471 |    1888448 |    1567984
    num cache misses                 |      10538 |      11413 |      12072 |      11858 |       9065 |       8296 |       8848 |       7429
    miss rate                        |      0.69% |      0.62% |      0.61% |      0.61% |      0.51% |      0.52% |      0.47% |      0.47%
    mpki                             |       3.51 |       3.15 |       3.10 |       3.11 |       2.59 |       2.66 |       2.38 |       2.42
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |      11945 |      12261 |      12780 |      12729 |      10218 |       9431 |      10038 |       8559
    num cache misses                 |       4510 |       1657 |        753 |        638 |       1818 |       1566 |       1099 |        796
    miss rate                        |     37.76% |     13.51% |      5.89% |      5.01% |     17.79% |     16.60% |     10.95% |      9.30%
    mpki                             |       1.50 |       0.46 |       0.19 |       0.17 |       0.52 |       0.50 |       0.30 |       0.26
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |       5289 |       1931 |        881 |        909 |       2878 |       2576 |       1952 |       1601
    num cache misses                 |          9 |         12 |         11 |          8 |         11 |         14 |         11 |          9
    miss rate                        |      0.17% |      0.62% |      1.25% |      0.88% |      0.38% |      0.54% |      0.56% |      0.56%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |         56 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     166.74 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |     113.31 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          4 |          3 |          7 |          4 |          4 |          7 |          3 |          4
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
