                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |    6169649 |    5755975 |    6534810 |    6467207 |    6572019 |    6353639 |    5753680 |    5581933 |    6442816 |    6425680 |    6561203 |    5617855 |    6086717 |    5850916 |    6242164 |    5975735
  Cycles                             |    5827473 |    5827473 |    5827473 |    5827473 |    5827473 |    5827473 |    5827473 |    5827473 |    5827473 |    5827473 |    5827473 |    5827473 |    5827473 |    5827473 |    5827473 |    5827473
  IPC                                |       1.06 |       0.99 |       1.12 |       1.11 |       1.13 |       1.09 |       0.99 |       0.96 |       1.11 |       1.10 |       1.13 |       0.96 |       1.04 |       1.00 |       1.07 |       1.03
  Time (ns)                          |    2190780 |    2190780 |    2190780 |    2190780 |    2190780 |    2190780 |    2190780 |    2190780 |    2190780 |    2190780 |    2190780 |    2190780 |    2190780 |    2190780 |    2190780 |    2190780
  Idle time (ns)                     |     140440 |     303047 |      10423 |      11180 |       4503 |      77363 |     302632 |     342463 |      39187 |      56097 |      11375 |     354644 |     191293 |     284687 |     140630 |     229228
  Idle time (%)                      |       6.4% |      13.8% |       0.5% |       0.5% |       0.2% |       3.5% |      13.8% |      15.6% |       1.8% |       2.6% |       0.5% |      16.2% |       8.7% |      13.0% |       6.4% |      10.5%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    1508819 |    1405553 |    1600031 |    1583235 |    1609489 |    1554912 |    1404802 |    1361946 |    1577140 |    1572824 |    1606662 |    1370951 |    1488218 |    1429181 |    1526979 |    1460411
  num incorrect                      |        828 |        682 |        909 |        809 |        753 |        739 |        858 |        773 |        804 |        834 |        877 |        761 |        703 |        786 |        799 |        763
  misprediction rate                 |      0.05% |      0.05% |      0.06% |      0.05% |      0.05% |      0.05% |      0.06% |      0.06% |      0.05% |      0.05% |      0.05% |      0.06% |      0.05% |      0.05% |      0.05% |      0.05%
  mpki                               |       0.13 |       0.12 |       0.14 |       0.13 |       0.11 |       0.12 |       0.15 |       0.14 |       0.12 |       0.13 |       0.13 |       0.14 |       0.12 |       0.13 |       0.13 |       0.13
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    3022208 |    2815408 |    3204793 |    3171030 |    3223408 |    3114240 |    2814252 |    2728354 |    3158811 |    3150233 |    3218001 |    2746381 |    2980782 |    2862849 |    3058474 |    2925282
    num cache misses                 |         15 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    3117356 |    2910521 |    3299947 |    3266137 |    3318542 |    3209353 |    2909374 |    2823500 |    3253950 |    3245382 |    3313140 |    2841469 |    3075892 |    2958000 |    3153617 |    3020401
    num cache misses                 |      21352 |      19422 |      22878 |      22930 |      22798 |      21904 |      19329 |      18820 |      22341 |      22148 |      22562 |      18618 |      20376 |      19287 |      20966 |      19816
    miss rate                        |      0.68% |      0.67% |      0.69% |      0.70% |      0.69% |      0.68% |      0.66% |      0.67% |      0.69% |      0.68% |      0.68% |      0.66% |      0.66% |      0.65% |      0.66% |      0.66%
    mpki                             |       3.46 |       3.37 |       3.50 |       3.55 |       3.47 |       3.45 |       3.36 |       3.37 |       3.47 |       3.45 |       3.44 |       3.31 |       3.35 |       3.30 |       3.36 |       3.32
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      22602 |      20495 |      23972 |      23992 |      23758 |      22985 |      20450 |      19894 |      23591 |      23220 |      23649 |      19706 |      21451 |      20355 |      22055 |      20942
    num cache misses                 |      21367 |      19439 |      22897 |      22948 |      22815 |      21922 |      19347 |      18838 |      22357 |      22164 |      22580 |      18634 |      20394 |      19305 |      20985 |      19834
    miss rate                        |     94.54% |     94.85% |     95.52% |     95.65% |     96.03% |     95.38% |     94.61% |     94.69% |     94.77% |     95.45% |     95.48% |     94.56% |     95.07% |     94.84% |     95.15% |     94.71%
    mpki                             |       3.46 |       3.38 |       3.50 |       3.55 |       3.47 |       3.45 |       3.36 |       3.37 |       3.47 |       3.45 |       3.44 |       3.32 |       3.35 |       3.30 |       3.36 |       3.32
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      22602 |      20495 |      23972 |      23992 |      23758 |      22985 |      20450 |      19894 |      23591 |      23220 |      23649 |      19706 |      21451 |      20355 |      22055 |      20942
    num cache misses                 |      12767 |      11015 |      13395 |      13337 |      13036 |      12436 |      10523 |      10533 |      13548 |      13158 |      13080 |      10282 |      11210 |      10477 |      11607 |      11194
    miss rate                        |     56.49% |     53.74% |     55.88% |     55.59% |     54.87% |     54.10% |     51.46% |     52.95% |     57.43% |     56.67% |     55.31% |     52.18% |     52.26% |     51.47% |     52.63% |     53.45%
    mpki                             |       2.07 |       1.91 |       2.05 |       2.06 |       1.98 |       1.96 |       1.83 |       1.89 |       2.10 |       2.05 |       1.99 |       1.83 |       1.84 |       1.79 |       1.86 |       1.87
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |         87 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     216.54 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |     163.11 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |          5 |          3 |          3 |          5 |          3 |          3 |          4 |          5 |          3 |          3 |          3 |          3 |          3 |          3 |          4 |          3
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       7446 |       6427 |       8102 |       8091 |       8005 |       7660 |       6404 |       6277 |       7810 |       7544 |       7585 |       5967 |       6719 |       6198 |       6894 |       6632
