                                     | Core 0    
  Instructions                       |     210047
  Cycles                             |     556081
  IPC                                |       0.38
  Time (ns)                          |     209053
  Idle time (ns)                     |      98310
  Idle time (%)                      |      47.0%
Branch predictor stats               |           
  num correct                        |      20002
  num incorrect                      |         12
  misprediction rate                 |      0.06%
  mpki                               |       0.06
TLB Summary                          |           
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |      17016
    num cache misses                 |         19
    miss rate                        |      0.11%
    mpki                             |       0.09
  Cache L1-D                         |           
    num cache accesses               |     131053
    num cache misses                 |         14
    miss rate                        |      0.01%
    mpki                             |       0.07
  Cache L2                           |           
    num cache accesses               |         35
    num cache misses                 |         33
    miss rate                        |     94.29%
    mpki                             |       0.16
  Cache L3                           |           
    num cache accesses               |         35
    num cache misses                 |         33
    miss rate                        |     94.29%
    mpki                             |       0.16
DRAM summary                         |           
  num dram accesses                  |         32
  average dram access latency (ns)   |     118.58
  average dram queueing delay        |      65.15
  average dram bandwidth utilization |      0.00%
Coherency Traffic                    |           
  num loads from dram                |          9
  num loads from dram cache          |          0
  num loads from remote cache        |          0
