                                     | Core 0     | Core 1    
  Instructions                       |      96471 |      96523
  Cycles                             |     580415 |     580415
  IPC                                |       0.17 |       0.17
  Time (ns)                          |     218201 |     218201
  Idle time (ns)                     |     195121 |     194156
  Idle time (%)                      |      89.4% |      89.0%
Branch predictor stats               |            |           
  num correct                        |      10893 |      10828
  num incorrect                      |        315 |        377
  misprediction rate                 |      2.81% |      3.36%
  mpki                               |       3.27 |       3.91
TLB Summary                          |            |           
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |      17455 |      17467
    num cache misses                 |         22 |         25
    miss rate                        |      0.13% |      0.14%
    mpki                             |       0.23 |       0.26
  Cache L1-D                         |            |           
    num cache accesses               |      51581 |      51601
    num cache misses                 |       1616 |       1508
    miss rate                        |      3.13% |      2.92%
    mpki                             |      16.75 |      15.62
  Cache L2                           |            |           
    num cache accesses               |       2253 |       2255
    num cache misses                 |         34 |         13
    miss rate                        |      1.51% |      0.58%
    mpki                             |       0.35 |       0.13
  Cache L3                           |            |           
    num cache accesses               |         36 |         16
    num cache misses                 |         34 |         13
    miss rate                        |     94.44% |     81.25%
    mpki                             |       0.35 |       0.13
DRAM summary                         |            |           
  num dram accesses                  |         45 |          0
  average dram access latency (ns)   |     105.80 |        inf
  average dram queueing delay        |      52.37 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |          8 |          6
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
