                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |      97651 |      98663 |      97230 |      98616
  Cycles                             |     813950 |     813950 |     813950 |     813950
  IPC                                |       0.12 |       0.12 |       0.12 |       0.12
  Time (ns)                          |     305996 |     305996 |     305996 |     305996
  Idle time (ns)                     |     280619 |     278603 |     281351 |     278307
  Idle time (%)                      |      91.7% |      91.0% |      91.9% |      91.0%
Branch predictor stats               |            |            |            |           
  num correct                        |      10846 |      10818 |      10819 |      10791
  num incorrect                      |        444 |        518 |        415 |        547
  misprediction rate                 |      3.93% |      4.57% |      3.69% |      4.82%
  mpki                               |       4.55 |       5.25 |       4.27 |       5.55
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |      17594 |      17737 |      17559 |      17733
    num cache misses                 |         24 |         25 |         25 |         24
    miss rate                        |      0.14% |      0.14% |      0.14% |      0.14%
    mpki                             |       0.25 |       0.25 |       0.26 |       0.24
  Cache L1-D                         |            |            |            |           
    num cache accesses               |      52061 |      52518 |      51907 |      52498
    num cache misses                 |       2173 |       2500 |       2272 |       2395
    miss rate                        |      4.17% |      4.76% |      4.38% |      4.56%
    mpki                             |      22.25 |      25.34 |      23.37 |      24.29
  Cache L2                           |            |            |            |           
    num cache accesses               |       2842 |       3347 |       2912 |       3203
    num cache misses                 |         19 |         26 |         10 |         15
    miss rate                        |      0.67% |      0.78% |      0.34% |      0.47%
    mpki                             |       0.19 |       0.26 |       0.10 |       0.15
  Cache L3                           |            |            |            |           
    num cache accesses               |         20 |         30 |         13 |         18
    num cache misses                 |         19 |         26 |         10 |         15
    miss rate                        |     95.00% |     86.67% |     76.92% |     83.33%
    mpki                             |       0.19 |       0.26 |       0.10 |       0.15
DRAM summary                         |            |            |            |           
  num dram accesses                  |         57 |          0 |          0 |          0
  average dram access latency (ns)   |     159.30 |        inf |        inf |        inf
  average dram queueing delay        |     105.87 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          3 |          9 |          4 |          5
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
