                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |     229087 |     230175 |     231017 |     230311 |     230562 |     230990 |     229900 |     230289
  Cycles                             |    4518684 |    4518684 |    4518684 |    4518684 |    4518684 |    4518684 |    4518684 |    4518684
  IPC                                |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05
  Time (ns)                          |    1698754 |    1698754 |    1698754 |    1698754 |    1698754 |    1698754 |    1698754 |    1698754
  Idle time (ns)                     |    1518033 |    1511108 |    1512379 |    1514700 |    1516786 |    1515842 |    1518337 |    1519581
  Idle time (%)                      |      89.4% |      89.0% |      89.0% |      89.2% |      89.3% |      89.2% |      89.4% |      89.5%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |      19960 |      20022 |      20091 |      19941 |      19955 |      20016 |      19904 |      19965
  num incorrect                      |       1178 |       1235 |       1249 |       1311 |       1301 |       1305 |       1317 |       1280
  misprediction rate                 |      5.57% |      5.81% |      5.85% |      6.17% |      6.12% |      6.12% |      6.21% |      6.02%
  mpki                               |       5.14 |       5.37 |       5.41 |       5.69 |       5.64 |       5.65 |       5.73 |       5.56
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |      19350 |      19413 |      19511 |      19466 |      19501 |      19517 |      19405 |      19458
    num cache misses                 |         24 |         24 |         26 |         26 |         24 |         24 |         25 |         24
    miss rate                        |      0.12% |      0.12% |      0.13% |      0.13% |      0.12% |      0.12% |      0.13% |      0.12%
    mpki                             |       0.10 |       0.10 |       0.11 |       0.11 |       0.10 |       0.10 |       0.11 |       0.10
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |     139161 |     139523 |     139864 |     139633 |     139757 |     139882 |     139454 |     139619
    num cache misses                 |       3828 |       4214 |       4151 |       4085 |       4291 |       4296 |       4110 |       4166
    miss rate                        |      2.75% |      3.02% |      2.97% |      2.93% |      3.07% |      3.07% |      2.95% |      2.98%
    mpki                             |      16.71 |      18.31 |      17.97 |      17.74 |      18.61 |      18.60 |      17.88 |      18.09
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |       4874 |       5356 |       5179 |       5148 |       5277 |       5272 |       5054 |       5029
    num cache misses                 |       1644 |       1902 |       1882 |       1805 |       2025 |       2010 |       1953 |       1999
    miss rate                        |     33.73% |     35.51% |     36.34% |     35.06% |     38.37% |     38.13% |     38.64% |     39.75%
    mpki                             |       7.18 |       8.26 |       8.15 |       7.84 |       8.78 |       8.70 |       8.49 |       8.68
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |       2350 |       2663 |       2593 |       2539 |       2581 |       2572 |       2490 |       2494
    num cache misses                 |         10 |         17 |         15 |         15 |          7 |          7 |         14 |         16
    miss rate                        |      0.43% |      0.64% |      0.58% |      0.59% |      0.27% |      0.27% |      0.56% |      0.64%
    mpki                             |       0.04 |       0.07 |       0.06 |       0.07 |       0.03 |       0.03 |       0.06 |       0.07
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |         83 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     153.01 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      99.58 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          4 |          4 |          9 |          7 |          4 |          4 |          8 |          7
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
