                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |    1406180 |    1405192 |    1405346 |    1404797 |    1405907 |    1405335 |    1404514 |    1405833 |    1405339 |    1404986 |    1405626 |    1405402 |    1404366 |    1405489 |    1405852 |    1406111
  Cycles                             |  102862437 |  102862437 |  102862437 |  102862437 |  102862437 |  102862437 |  102862437 |  102862437 |  102862437 |  102862437 |  102862437 |  102862437 |  102862437 |  102862437 |  102862437 |  102862437
  IPC                                |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
  Time (ns)                          |   38670089 |   38670089 |   38670089 |   38670089 |   38670089 |   38670089 |   38670089 |   38670089 |   38670089 |   38670089 |   38670089 |   38670089 |   38670089 |   38670089 |   38670089 |   38670089
  Idle time (ns)                     |   37228337 |   37231489 |   37228209 |   37230132 |   37226045 |   37227397 |   37230769 |   37228196 |   37234428 |   37235527 |   37234878 |   37231073 |   37237005 |   37235732 |   37233869 |   37233643
  Idle time (%)                      |      96.3% |      96.3% |      96.3% |      96.3% |      96.3% |      96.3% |      96.3% |      96.3% |      96.3% |      96.3% |      96.3% |      96.3% |      96.3% |      96.3% |      96.3% |      96.3%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |     110498 |     110419 |     110414 |     110396 |     110497 |     110436 |     110423 |     110456 |     110475 |     110448 |     110444 |     110450 |     110398 |     110418 |     110527 |     110502
  num incorrect                      |        917 |        868 |        903 |        848 |        917 |        876 |        797 |        924 |        848 |        834 |        901 |        883 |        796 |        906 |        865 |        910
  misprediction rate                 |      0.82% |      0.78% |      0.81% |      0.76% |      0.82% |      0.79% |      0.72% |      0.83% |      0.76% |      0.75% |      0.81% |      0.79% |      0.72% |      0.81% |      0.78% |      0.82%
  mpki                               |       0.65 |       0.62 |       0.64 |       0.60 |       0.65 |       0.62 |       0.57 |       0.66 |       0.60 |       0.59 |       0.64 |       0.63 |       0.57 |       0.64 |       0.62 |       0.65
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      20017 |      19984 |      19961 |      19945 |      19968 |      19969 |      19897 |      19982 |      19939 |      19913 |      19997 |      19936 |      19909 |      19999 |      19950 |      20001
    num cache misses                 |         24 |         24 |         24 |         25 |         23 |         24 |         25 |         24 |         24 |         24 |         24 |         24 |         24 |         24 |         24 |         24
    miss rate                        |      0.12% |      0.12% |      0.12% |      0.13% |      0.12% |      0.12% |      0.13% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12% |      0.12%
    mpki                             |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     952186 |     951882 |     951909 |     951744 |     952050 |     951912 |     951632 |     952063 |     951894 |     951773 |     952013 |     951910 |     951596 |     951976 |     952050 |     952158
    num cache misses                 |       3184 |       3073 |       3089 |       3035 |       3217 |       3080 |       2956 |       3176 |       2986 |       2947 |       3015 |       3017 |       2850 |       3015 |       3033 |       3067
    miss rate                        |      0.33% |      0.32% |      0.32% |      0.32% |      0.34% |      0.32% |      0.31% |      0.33% |      0.31% |      0.31% |      0.32% |      0.32% |      0.30% |      0.32% |      0.32% |      0.32%
    mpki                             |       2.26 |       2.19 |       2.20 |       2.16 |       2.29 |       2.19 |       2.10 |       2.26 |       2.12 |       2.10 |       2.14 |       2.15 |       2.03 |       2.15 |       2.16 |       2.18
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |       3854 |       3739 |       3725 |       3663 |       3869 |       3750 |       3540 |       3846 |       3703 |       3649 |       3770 |       3734 |       3549 |       3788 |       3791 |       3839
    num cache misses                 |       3208 |       3097 |       3113 |       3060 |       3240 |       3104 |       2981 |       3200 |       3010 |       2971 |       3039 |       3041 |       2874 |       3039 |       3057 |       3091
    miss rate                        |     83.24% |     82.83% |     83.57% |     83.54% |     83.74% |     82.77% |     84.21% |     83.20% |     81.29% |     81.42% |     80.61% |     81.44% |     80.98% |     80.23% |     80.64% |     80.52%
    mpki                             |       2.28 |       2.20 |       2.22 |       2.18 |       2.30 |       2.21 |       2.12 |       2.28 |       2.14 |       2.11 |       2.16 |       2.16 |       2.05 |       2.16 |       2.17 |       2.20
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
