                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |      95355 |      69228 |      77804 |      86071
  Cycles                             |     553323 |     553323 |     553323 |     553323
  IPC                                |       0.17 |       0.13 |       0.14 |       0.16
  Time (ns)                          |     208016 |     208016 |     208016 |     208016
  Idle time (ns)                     |      99858 |     170368 |     131352 |     104348
  Idle time (%)                      |      48.0% |      81.9% |      63.1% |      50.2%
Branch predictor stats               |            |            |            |           
  num correct                        |       8640 |       4298 |       5734 |       7109
  num incorrect                      |         92 |         80 |         73 |         76
  misprediction rate                 |      1.05% |      1.83% |      1.26% |      1.06%
  mpki                               |       0.96 |       1.16 |       0.94 |       0.88
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |      23452 |      14742 |      17601 |      20357
    num cache misses                 |         14 |         17 |         17 |         18
    miss rate                        |      0.06% |      0.12% |      0.10% |      0.09%
    mpki                             |       0.15 |       0.25 |       0.22 |       0.21
  Cache L1-D                         |            |            |            |           
    num cache accesses               |      57207 |      44139 |      48428 |      52561
    num cache misses                 |       3093 |        940 |       2252 |       3085
    miss rate                        |      5.41% |      2.13% |      4.65% |      5.87%
    mpki                             |      32.44 |      13.58 |      28.94 |      35.84
  Cache L2                           |            |            |            |           
    num cache accesses               |       3162 |       1019 |       2315 |       3275
    num cache misses                 |       3107 |        957 |       2269 |       3104
    miss rate                        |     98.26% |     93.92% |     98.01% |     94.78%
    mpki                             |      32.58 |      13.82 |      29.16 |      36.06
  Cache L3                           |            |            |            |           
    num cache accesses               |       3162 |       1019 |       2315 |       3275
    num cache misses                 |         11 |         13 |         10 |         12
    miss rate                        |      0.35% |      1.28% |      0.43% |      0.37%
    mpki                             |       0.12 |       0.19 |       0.13 |       0.14
DRAM summary                         |            |            |            |           
  num dram accesses                  |         40 |          0 |          0 |          0
  average dram access latency (ns)   |     143.16 |        inf |        inf |        inf
  average dram queueing delay        |      89.73 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          4 |          6 |          4 |          5
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
