                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |      96594 |     107976 |     112194 |      77282
  Cycles                             |     384989 |     384989 |     384989 |     384989
  IPC                                |       0.25 |       0.28 |       0.29 |       0.20
  Time (ns)                          |     144733 |     144733 |     144733 |     144733
  Idle time (ns)                     |     109447 |     103630 |     100922 |     122529
  Idle time (%)                      |      75.6% |      71.6% |      69.7% |      84.7%
Branch predictor stats               |            |            |            |           
  num correct                        |       8822 |      10730 |      11413 |       5618
  num incorrect                      |        117 |        111 |        130 |        107
  misprediction rate                 |      1.31% |      1.02% |      1.13% |      1.87%
  mpki                               |       1.21 |       1.03 |       1.16 |       1.38
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |      23868 |      27675 |      29078 |      17444
    num cache misses                 |         16 |         17 |         15 |         16
    miss rate                        |      0.07% |      0.06% |      0.05% |      0.09%
    mpki                             |       0.17 |       0.16 |       0.13 |       0.21
  Cache L1-D                         |            |            |            |           
    num cache accesses               |      57827 |      63528 |      65638 |      48183
    num cache misses                 |       6162 |       6890 |       6889 |       2875
    miss rate                        |     10.66% |     10.85% |     10.50% |      5.97%
    mpki                             |      63.79 |      63.81 |      61.40 |      37.20
  Cache L2                           |            |            |            |           
    num cache accesses               |       6333 |       7093 |       7050 |       2992
    num cache misses                 |         14 |          6 |         12 |         11
    miss rate                        |      0.22% |      0.08% |      0.17% |      0.37%
    mpki                             |       0.14 |       0.06 |       0.11 |       0.14
  Cache L3                           |            |            |            |           
    num cache accesses               |         15 |          9 |         15 |         15
    num cache misses                 |         14 |          6 |         12 |         11
    miss rate                        |     93.33% |     66.67% |     80.00% |     73.33%
    mpki                             |       0.14 |       0.06 |       0.11 |       0.14
DRAM summary                         |            |            |            |           
  num dram accesses                  |         39 |          0 |          0 |          0
  average dram access latency (ns)   |     121.07 |        inf |        inf |        inf
  average dram queueing delay        |      67.64 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          2 |          4 |          4 |          5
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
