                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |      79383 |      85244 |      85229 |      92194
  Cycles                             |     611570 |     611570 |     611570 |     611570
  IPC                                |       0.13 |       0.14 |       0.14 |       0.15
  Time (ns)                          |     229914 |     229914 |     229914 |     229914
  Idle time (ns)                     |     146427 |     108243 |     110222 |      99878
  Idle time (%)                      |      63.7% |      47.1% |      47.9% |      43.4%
Branch predictor stats               |            |            |            |           
  num correct                        |       6018 |       6971 |       6993 |       8136
  num incorrect                      |         53 |         76 |         52 |         68
  misprediction rate                 |      0.87% |      1.08% |      0.74% |      0.83%
  mpki                               |       0.67 |       0.89 |       0.61 |       0.74
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |      18132 |      20081 |      20075 |      22394
    num cache misses                 |         16 |         18 |         17 |         18
    miss rate                        |      0.09% |      0.09% |      0.08% |      0.08%
    mpki                             |       0.20 |       0.21 |       0.20 |       0.20
  Cache L1-D                         |            |            |            |           
    num cache accesses               |      49223 |      52147 |      52138 |      55621
    num cache misses                 |       2897 |       3741 |       3589 |       3720
    miss rate                        |      5.89% |      7.17% |      6.88% |      6.69%
    mpki                             |      36.49 |      43.89 |      42.11 |      40.35
  Cache L2                           |            |            |            |           
    num cache accesses               |       3075 |       3974 |       3737 |       3852
    num cache misses                 |       2913 |       3759 |       3606 |       3738
    miss rate                        |     94.73% |     94.59% |     96.49% |     97.04%
    mpki                             |      36.70 |      44.10 |      42.31 |      40.54
  Cache L3                           |            |            |            |           
    num cache accesses               |       3075 |       3974 |       3737 |       3852
    num cache misses                 |       2913 |       3759 |       3606 |       3738
    miss rate                        |     94.73% |     94.59% |     96.49% |     97.04%
    mpki                             |      36.70 |      44.10 |      42.31 |      40.54
DRAM summary                         |            |            |            |           
  num dram accesses                  |        145 |          0 |          0 |          0
  average dram access latency (ns)   |     181.91 |        inf |        inf |        inf
  average dram queueing delay        |     128.48 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |         17 |         24 |         15 |         28
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |        154 |        191 |        116 |        118
