                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |      82053 |      89389 |      74505 |      83592
  Cycles                             |     595204 |     595204 |     595204 |     595204
  IPC                                |       0.14 |       0.15 |       0.13 |       0.14
  Time (ns)                          |     223761 |     223761 |     223761 |     223761
  Idle time (ns)                     |     116360 |     100870 |     151469 |     107019
  Idle time (%)                      |      52.0% |      45.1% |      67.7% |      47.8%
Branch predictor stats               |            |            |            |           
  num correct                        |       7141 |       8620 |       5667 |       7466
  num incorrect                      |         75 |         68 |         46 |         64
  misprediction rate                 |      1.04% |      0.78% |      0.81% |      0.85%
  mpki                               |       0.91 |       0.76 |       0.62 |       0.77
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |      20422 |      23368 |      17419 |      21054
    num cache misses                 |         16 |         15 |         17 |         16
    miss rate                        |      0.08% |      0.06% |      0.10% |      0.08%
    mpki                             |       0.19 |       0.17 |       0.23 |       0.19
  Cache L1-D                         |            |            |            |           
    num cache accesses               |      52658 |      57073 |      48144 |      53598
    num cache misses                 |       3276 |       3600 |       2150 |       3515
    miss rate                        |      6.22% |      6.31% |      4.47% |      6.56%
    mpki                             |      39.93 |      40.27 |      28.86 |      42.05
  Cache L2                           |            |            |            |           
    num cache accesses               |       3330 |       3635 |       2177 |       3553
    num cache misses                 |       3292 |       3615 |       2167 |       3531
    miss rate                        |     98.86% |     99.45% |     99.54% |     99.38%
    mpki                             |      40.12 |      40.44 |      29.09 |      42.24
  Cache L3                           |            |            |            |           
    num cache accesses               |       3330 |       3635 |       2177 |       3553
    num cache misses                 |         23 |          6 |          9 |          7
    miss rate                        |      0.69% |      0.17% |      0.41% |      0.20%
    mpki                             |       0.28 |       0.07 |       0.12 |       0.08
DRAM summary                         |            |            |            |           
  num dram accesses                  |         39 |          0 |          0 |          0
  average dram access latency (ns)   |     128.19 |        inf |        inf |        inf
  average dram queueing delay        |      74.76 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          5 |          5 |          4 |          4
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
