                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |     237638 |     265180 |     277002 |     231605
  Cycles                             |     399314 |     399314 |     399314 |     399314
  IPC                                |       0.60 |       0.66 |       0.69 |       0.58
  Time (ns)                          |     150118 |     150118 |     150118 |     150118
  Idle time (ns)                     |     104959 |      99873 |     100528 |     105252
  Idle time (%)                      |      69.9% |      66.5% |      67.0% |      70.1%
Branch predictor stats               |            |            |            |           
  num correct                        |      38069 |      43540 |      45985 |      36838
  num incorrect                      |        264 |        307 |        227 |        295
  misprediction rate                 |      0.69% |      0.70% |      0.49% |      0.79%
  mpki                               |       1.11 |       1.16 |       0.82 |       1.27
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |      82656 |      93686 |      98418 |      80259
    num cache misses                 |         16 |         15 |         16 |         17
    miss rate                        |      0.02% |      0.02% |      0.02% |      0.02%
    mpki                             |       0.07 |       0.06 |       0.06 |       0.07
  Cache L1-D                         |            |            |            |           
    num cache accesses               |     146009 |     162549 |     169644 |     142404
    num cache misses                 |      37445 |      38910 |      41269 |      33062
    miss rate                        |     25.65% |     23.94% |     24.33% |     23.22%
    mpki                             |     157.57 |     146.73 |     148.98 |     142.75
  Cache L2                           |            |            |            |           
    num cache accesses               |      37603 |      39118 |      41389 |      33225
    num cache misses                 |         22 |          6 |         10 |          8
    miss rate                        |      0.06% |      0.02% |      0.02% |      0.02%
    mpki                             |       0.09 |       0.02 |       0.04 |       0.03
  Cache L3                           |            |            |            |           
    num cache accesses               |         24 |          9 |         13 |         11
    num cache misses                 |         22 |          6 |         10 |          8
    miss rate                        |     91.67% |     66.67% |     76.92% |     72.73%
    mpki                             |       0.09 |       0.02 |       0.04 |       0.03
DRAM summary                         |            |            |            |           
  num dram accesses                  |         39 |          0 |          0 |          0
  average dram access latency (ns)   |     117.60 |        inf |        inf |        inf
  average dram queueing delay        |      64.17 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          4 |          3 |          4 |          4
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
