                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |     154922 |     150479 |     138359 |     139166
  Cycles                             |     695747 |     695747 |     695747 |     695747
  IPC                                |       0.22 |       0.22 |       0.20 |       0.20
  Time (ns)                          |     261559 |     261559 |     261559 |     261559
  Idle time (ns)                     |     100922 |     102493 |     113555 |     113417
  Idle time (%)                      |      38.6% |      39.2% |      43.4% |      43.4%
Branch predictor stats               |            |            |            |           
  num correct                        |      25795 |      24701 |      21664 |      21816
  num incorrect                      |        182 |        176 |        180 |        229
  misprediction rate                 |      0.70% |      0.71% |      0.82% |      1.04%
  mpki                               |       1.17 |       1.17 |       1.30 |       1.65
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |      54927 |      52732 |      46661 |      47062
    num cache misses                 |         14 |         15 |         16 |         15
    miss rate                        |      0.03% |      0.03% |      0.03% |      0.03%
    mpki                             |       0.09 |       0.10 |       0.12 |       0.11
  Cache L1-D                         |            |            |            |           
    num cache accesses               |      86987 |      84777 |      78715 |      79119
    num cache misses                 |       4193 |       4042 |       3926 |       3815
    miss rate                        |      4.82% |      4.77% |      4.99% |      4.82%
    mpki                             |      27.07 |      26.86 |      28.38 |      27.41
  Cache L2                           |            |            |            |           
    num cache accesses               |       4969 |       4882 |       4644 |       4618
    num cache misses                 |       4207 |       4057 |       3944 |       3833
    miss rate                        |     84.66% |     83.10% |     84.93% |     83.00%
    mpki                             |      27.16 |      26.96 |      28.51 |      27.54
  Cache L3                           |            |            |            |           
    num cache accesses               |       4969 |       4882 |       4644 |       4618
    num cache misses                 |         18 |          5 |         13 |          6
    miss rate                        |      0.36% |      0.10% |      0.28% |      0.13%
    mpki                             |       0.12 |       0.03 |       0.09 |       0.04
DRAM summary                         |            |            |            |           
  num dram accesses                  |         38 |          0 |          0 |          0
  average dram access latency (ns)   |     119.26 |        inf |        inf |        inf
  average dram queueing delay        |      65.83 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          4 |          3 |          6 |          4
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
