                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |     196466 |     229940 |     216049 |     204923
  Cycles                             |     400420 |     400420 |     400420 |     400420
  IPC                                |       0.49 |       0.57 |       0.54 |       0.51
  Time (ns)                          |     150534 |     150534 |     150534 |     150534
  Idle time (ns)                     |     106242 |      99827 |     102325 |     102527
  Idle time (%)                      |      70.6% |      66.3% |      68.0% |      68.1%
Branch predictor stats               |            |            |            |           
  num correct                        |      36053 |      44416 |      40918 |      38086
  num incorrect                      |        311 |        310 |        331 |        384
  misprediction rate                 |      0.86% |      0.69% |      0.80% |      1.00%
  mpki                               |       1.58 |       1.35 |       1.53 |       1.87
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |      75703 |      92408 |      85457 |      79896
    num cache misses                 |         16 |         16 |         16 |         16
    miss rate                        |      0.02% |      0.02% |      0.02% |      0.02%
    mpki                             |       0.08 |       0.07 |       0.07 |       0.08
  Cache L1-D                         |            |            |            |           
    num cache accesses               |     107760 |     124488 |     117542 |     111980
    num cache misses                 |       4446 |       4950 |       4879 |       4428
    miss rate                        |      4.13% |      3.98% |      4.15% |      3.95%
    mpki                             |      22.63 |      21.53 |      22.58 |      21.61
  Cache L2                           |            |            |            |           
    num cache accesses               |       5350 |       5591 |       5705 |       5282
    num cache misses                 |          7 |         24 |         11 |         11
    miss rate                        |      0.13% |      0.43% |      0.19% |      0.21%
    mpki                             |       0.04 |       0.10 |       0.05 |       0.05
  Cache L3                           |            |            |            |           
    num cache accesses               |          8 |         25 |         12 |         13
    num cache misses                 |          7 |         24 |         11 |         11
    miss rate                        |     87.50% |     96.00% |     91.67% |     84.62%
    mpki                             |       0.04 |       0.10 |       0.05 |       0.05
DRAM summary                         |            |            |            |           
  num dram accesses                  |         38 |          0 |          0 |          0
  average dram access latency (ns)   |     161.58 |        inf |        inf |        inf
  average dram queueing delay        |     108.15 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          1 |          4 |          2 |          2
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
