                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |     155040 |     149153 |     162610 |     156270
  Cycles                             |     751612 |     751612 |     751612 |     751612
  IPC                                |       0.21 |       0.20 |       0.22 |       0.21
  Time (ns)                          |     282561 |     282561 |     282561 |     282561
  Idle time (ns)                     |     100832 |     118170 |     103525 |     106765
  Idle time (%)                      |      35.7% |      41.8% |      36.6% |      37.8%
Branch predictor stats               |            |            |            |           
  num correct                        |      25947 |      24534 |      27856 |      26224
  num incorrect                      |        311 |        268 |        304 |        346
  misprediction rate                 |      1.18% |      1.08% |      1.08% |      1.30%
  mpki                               |       2.01 |       1.80 |       1.87 |       2.21
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |      55486 |      52594 |      59296 |      56096
    num cache misses                 |         13 |         15 |         15 |         15
    miss rate                        |      0.02% |      0.03% |      0.03% |      0.03%
    mpki                             |       0.08 |       0.10 |       0.09 |       0.10
  Cache L1-D                         |            |            |            |           
    num cache accesses               |      87550 |      84618 |      91347 |      88177
    num cache misses                 |       4821 |       4047 |       4429 |       4415
    miss rate                        |      5.51% |      4.78% |      4.85% |      5.01%
    mpki                             |      31.10 |      27.13 |      27.24 |      28.25
  Cache L2                           |            |            |            |           
    num cache accesses               |       5453 |       4984 |       5345 |       5257
    num cache misses                 |       4836 |       4062 |       4445 |       4431
    miss rate                        |     88.69% |     81.50% |     83.16% |     84.29%
    mpki                             |      31.19 |      27.23 |      27.34 |      28.35
  Cache L3                           |            |            |            |           
    num cache accesses               |       5453 |       4984 |       5345 |       5257
    num cache misses                 |         22 |          9 |          6 |          8
    miss rate                        |      0.40% |      0.18% |      0.11% |      0.15%
    mpki                             |       0.14 |       0.06 |       0.04 |       0.05
DRAM summary                         |            |            |            |           
  num dram accesses                  |         37 |          0 |          0 |          0
  average dram access latency (ns)   |     115.58 |        inf |        inf |        inf
  average dram queueing delay        |      62.15 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          6 |          4 |          5 |          4
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
