                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |     260755 |     260254 |     255353 |     231257
  Cycles                             |     425230 |     425230 |     425230 |     425230
  IPC                                |       0.61 |       0.61 |       0.60 |       0.54
  Time (ns)                          |     159861 |     159861 |     159861 |     159861
  Idle time (ns)                     |     101356 |     100828 |     101334 |     106480
  Idle time (%)                      |      63.4% |      63.1% |      63.4% |      66.6%
Branch predictor stats               |            |            |            |           
  num correct                        |      52288 |      52167 |      50908 |      44910
  num incorrect                      |        400 |        404 |        440 |        414
  misprediction rate                 |      0.76% |      0.77% |      0.86% |      0.91%
  mpki                               |       1.53 |       1.55 |       1.72 |       1.79
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |     108350 |     108129 |     105679 |      93631
    num cache misses                 |         15 |         15 |         16 |         16
    miss rate                        |      0.01% |      0.01% |      0.02% |      0.02%
    mpki                             |       0.06 |       0.06 |       0.06 |       0.07
  Cache L1-D                         |            |            |            |           
    num cache accesses               |     140408 |     140168 |     137717 |     125669
    num cache misses                 |       5212 |       5237 |       5261 |       4692
    miss rate                        |      3.71% |      3.74% |      3.82% |      3.73%
    mpki                             |      19.99 |      20.12 |      20.60 |      20.29
  Cache L2                           |            |            |            |           
    num cache accesses               |       6264 |       6112 |       6024 |       5544
    num cache misses                 |         18 |         13 |          9 |         10
    miss rate                        |      0.29% |      0.21% |      0.15% |      0.18%
    mpki                             |       0.07 |       0.05 |       0.04 |       0.04
  Cache L3                           |            |            |            |           
    num cache accesses               |         19 |         17 |         12 |         13
    num cache misses                 |         18 |         13 |          9 |         10
    miss rate                        |     94.74% |     76.47% |     75.00% |     76.92%
    mpki                             |       0.07 |       0.05 |       0.04 |       0.04
DRAM summary                         |            |            |            |           
  num dram accesses                  |         38 |          0 |          0 |          0
  average dram access latency (ns)   |     117.75 |        inf |        inf |        inf
  average dram queueing delay        |      64.32 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          2 |          6 |          3 |          4
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
