                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |      98680 |      97358 |      98854 |      97144
  Cycles                             |    1071031 |    1071031 |    1071031 |    1071031
  IPC                                |       0.09 |       0.09 |       0.09 |       0.09
  Time (ns)                          |     402643 |     402643 |     402643 |     402643
  Idle time (ns)                     |     324858 |     334146 |     327041 |     334837
  Idle time (%)                      |      80.7% |      83.0% |      81.2% |      83.2%
Branch predictor stats               |            |            |            |           
  num correct                        |      10789 |      10818 |      10825 |      10787
  num incorrect                      |        568 |        435 |        521 |        452
  misprediction rate                 |      5.00% |      3.87% |      4.59% |      4.02%
  mpki                               |       5.76 |       4.47 |       5.27 |       4.65
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |      17708 |      17552 |      17745 |      17530
    num cache misses                 |         22 |         24 |         24 |         25
    miss rate                        |      0.12% |      0.14% |      0.14% |      0.14%
    mpki                             |       0.22 |       0.25 |       0.24 |       0.26
  Cache L1-D                         |            |            |            |           
    num cache accesses               |      52485 |      51939 |      52584 |      51848
    num cache misses                 |       2027 |       1833 |       2079 |       1838
    miss rate                        |      3.86% |      3.53% |      3.95% |      3.54%
    mpki                             |      20.54 |      18.83 |      21.03 |      18.92
  Cache L2                           |            |            |            |           
    num cache accesses               |       2807 |       2470 |       2680 |       2406
    num cache misses                 |       2051 |       1859 |       2112 |       1866
    miss rate                        |     73.07% |     75.26% |     78.81% |     77.56%
    mpki                             |      20.78 |      19.09 |      21.36 |      19.21
  Cache L3                           |            |            |            |           
    num cache accesses               |       2807 |       2470 |       2680 |       2406
    num cache misses                 |         23 |         18 |         12 |         10
    miss rate                        |      0.82% |      0.73% |      0.45% |      0.42%
    mpki                             |       0.23 |       0.18 |       0.12 |       0.10
DRAM summary                         |            |            |            |           
  num dram accesses                  |         57 |          0 |          0 |          0
  average dram access latency (ns)   |     165.11 |        inf |        inf |        inf
  average dram queueing delay        |     111.68 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          4 |          7 |          6 |          7
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
