                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |      98241 |      98133 |      97801 |      98928
  Cycles                             |     780287 |     780287 |     780287 |     780287
  IPC                                |       0.13 |       0.13 |       0.13 |       0.13
  Time (ns)                          |     293341 |     293341 |     293341 |     293341
  Idle time (ns)                     |     267028 |     266252 |     266009 |     265440
  Idle time (%)                      |      91.0% |      90.8% |      90.7% |      90.5%
Branch predictor stats               |            |            |            |           
  num correct                        |      10810 |      10825 |      10775 |      10802
  num incorrect                      |        502 |        488 |        495 |        551
  misprediction rate                 |      4.44% |      4.31% |      4.39% |      4.85%
  mpki                               |       5.11 |       4.97 |       5.06 |       5.57
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |      17671 |      17653 |      17631 |      17763
    num cache misses                 |         22 |         24 |         24 |         25
    miss rate                        |      0.12% |      0.14% |      0.14% |      0.14%
    mpki                             |       0.22 |       0.24 |       0.25 |       0.25
  Cache L1-D                         |            |            |            |           
    num cache accesses               |      52324 |      52287 |      52152 |      52638
    num cache misses                 |       2183 |       2156 |       2190 |       2434
    miss rate                        |      4.17% |      4.12% |      4.20% |      4.62%
    mpki                             |      22.22 |      21.97 |      22.39 |      24.60
  Cache L2                           |            |            |            |           
    num cache accesses               |       2951 |       2949 |       2883 |       3122
    num cache misses                 |         21 |          8 |          9 |         21
    miss rate                        |      0.71% |      0.27% |      0.31% |      0.67%
    mpki                             |       0.21 |       0.08 |       0.09 |       0.21
  Cache L3                           |            |            |            |           
    num cache accesses               |         22 |         11 |         12 |         25
    num cache misses                 |         21 |          8 |          9 |         21
    miss rate                        |     95.45% |     72.73% |     75.00% |     84.00%
    mpki                             |       0.21 |       0.08 |       0.09 |       0.21
DRAM summary                         |            |            |            |           
  num dram accesses                  |         57 |          0 |          0 |          0
  average dram access latency (ns)   |     166.67 |        inf |        inf |        inf
  average dram queueing delay        |     113.24 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          5 |          4 |          4 |          8
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
