                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |      97348 |      98372 |      97479 |      98476
  Cycles                             |    1094914 |    1094914 |    1094914 |    1094914
  IPC                                |       0.09 |       0.09 |       0.09 |       0.09
  Time (ns)                          |     411622 |     411622 |     411622 |     411622
  Idle time (ns)                     |     337964 |     321599 |     327727 |     320935
  Idle time (%)                      |      82.1% |      78.1% |      79.6% |      78.0%
Branch predictor stats               |            |            |            |           
  num correct                        |      10844 |      10870 |      10820 |      10811
  num incorrect                      |        401 |        467 |        451 |        521
  misprediction rate                 |      3.57% |      4.12% |      4.00% |      4.60%
  mpki                               |       4.12 |       4.75 |       4.63 |       5.29
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |      17550 |      17674 |      17570 |      17689
    num cache misses                 |         24 |         24 |         24 |         24
    miss rate                        |      0.14% |      0.14% |      0.14% |      0.14%
    mpki                             |       0.25 |       0.24 |       0.25 |       0.24
  Cache L1-D                         |            |            |            |           
    num cache accesses               |      51921 |      52351 |      51973 |      52405
    num cache misses                 |       2260 |       2552 |       2178 |       2599
    miss rate                        |      4.35% |      4.87% |      4.19% |      4.96%
    mpki                             |      23.22 |      25.94 |      22.34 |      26.39
  Cache L2                           |            |            |            |           
    num cache accesses               |       3411 |       3887 |       3289 |       3938
    num cache misses                 |       2297 |       2616 |       2228 |       2651
    miss rate                        |     67.34% |     67.30% |     67.74% |     67.32%
    mpki                             |      23.60 |      26.59 |      22.86 |      26.92
  Cache L3                           |            |            |            |           
    num cache accesses               |       3411 |       3887 |       3289 |       3938
    num cache misses                 |       2297 |       2616 |       2228 |       2651
    miss rate                        |     67.34% |     67.30% |     67.74% |     67.32%
    mpki                             |      23.60 |      26.59 |      22.86 |      26.92
DRAM summary                         |            |            |            |           
  num dram accesses                  |        878 |          0 |          0 |          0
  average dram access latency (ns)   |      78.15 |        inf |        inf |        inf
  average dram queueing delay        |      24.73 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      1.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |        140 |        137 |        143 |        154
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |       1239 |       1410 |       1164 |       1423
