                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |      89000 |      74104 |      68304 |      93326
  Cycles                             |     477267 |     477267 |     477267 |     477267
  IPC                                |       0.19 |       0.16 |       0.14 |       0.20
  Time (ns)                          |     179424 |     179424 |     179424 |     179424
  Idle time (ns)                     |     101657 |     133089 |     153024 |     100885
  Idle time (%)                      |      56.7% |      74.2% |      85.3% |      56.2%
Branch predictor stats               |            |            |            |           
  num correct                        |       7569 |       5155 |       4200 |       8289
  num incorrect                      |         99 |         40 |         29 |        109
  misprediction rate                 |      1.29% |      0.77% |      0.69% |      1.30%
  mpki                               |       1.11 |       0.54 |       0.42 |       1.17
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |      21326 |      16384 |      14450 |      22788
    num cache misses                 |         16 |         16 |         16 |         15
    miss rate                        |      0.08% |      0.10% |      0.11% |      0.07%
    mpki                             |       0.18 |       0.22 |       0.23 |       0.16
  Cache L1-D                         |            |            |            |           
    num cache accesses               |      54014 |      46593 |      43692 |      56203
    num cache misses                 |       2543 |       1439 |        819 |       2429
    miss rate                        |      4.71% |      3.09% |      1.87% |      4.32%
    mpki                             |      28.57 |      19.42 |      11.99 |      26.03
  Cache L2                           |            |            |            |           
    num cache accesses               |       2606 |       1544 |        890 |       2601
    num cache misses                 |       2559 |       1455 |        835 |       2444
    miss rate                        |     98.20% |     94.24% |     93.82% |     93.96%
    mpki                             |      28.75 |      19.63 |      12.22 |      26.19
  Cache L3                           |            |            |            |           
    num cache accesses               |       2606 |       1544 |        890 |       2601
    num cache misses                 |         22 |          7 |         10 |          7
    miss rate                        |      0.84% |      0.45% |      1.12% |      0.27%
    mpki                             |       0.25 |       0.09 |       0.15 |       0.08
DRAM summary                         |            |            |            |           
  num dram accesses                  |         38 |          0 |          0 |          0
  average dram access latency (ns)   |     117.54 |        inf |        inf |        inf
  average dram queueing delay        |      64.11 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          6 |          4 |          5 |          5
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
