                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |     115897 |      84702 |     107938 |      88668
  Cycles                             |     387506 |     387506 |     387506 |     387506
  IPC                                |       0.30 |       0.22 |       0.28 |       0.23
  Time (ns)                          |     145679 |     145679 |     145679 |     145679
  Idle time (ns)                     |      99869 |     118294 |     103188 |     117090
  Idle time (%)                      |      68.6% |      81.2% |      70.8% |      80.4%
Branch predictor stats               |            |            |            |           
  num correct                        |      12003 |       6850 |      10689 |       7543
  num incorrect                      |        153 |        106 |        146 |         75
  misprediction rate                 |      1.26% |      1.52% |      1.35% |      0.98%
  mpki                               |       1.32 |       1.25 |       1.35 |       0.85
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |      30300 |      19900 |      27660 |      21221
    num cache misses                 |         14 |         17 |         16 |         18
    miss rate                        |      0.05% |      0.09% |      0.06% |      0.08%
    mpki                             |       0.12 |       0.20 |       0.15 |       0.20
  Cache L1-D                         |            |            |            |           
    num cache accesses               |      67479 |      51876 |      63505 |      53857
    num cache misses                 |       6931 |       4353 |       6915 |       4662
    miss rate                        |     10.27% |      8.39% |     10.89% |      8.66%
    mpki                             |      59.80 |      51.39 |      64.06 |      52.58
  Cache L2                           |            |            |            |           
    num cache accesses               |       7111 |       4525 |       7157 |       4825
    num cache misses                 |         15 |         12 |          7 |          9
    miss rate                        |      0.21% |      0.27% |      0.10% |      0.19%
    mpki                             |       0.13 |       0.14 |       0.06 |       0.10
  Cache L3                           |            |            |            |           
    num cache accesses               |         16 |         16 |          9 |         12
    num cache misses                 |         15 |         12 |          7 |          9
    miss rate                        |     93.75% |     75.00% |     77.78% |     75.00%
    mpki                             |       0.13 |       0.14 |       0.06 |       0.10
DRAM summary                         |            |            |            |           
  num dram accesses                  |         40 |          0 |          0 |          0
  average dram access latency (ns)   |     143.54 |        inf |        inf |        inf
  average dram queueing delay        |      90.11 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          3 |          5 |          3 |          4
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
