                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |      74428 |      85406 |      67971 |      86467
  Cycles                             |     499748 |     499748 |     499748 |     499748
  IPC                                |       0.15 |       0.17 |       0.14 |       0.17
  Time (ns)                          |     187875 |     187875 |     187875 |     187875
  Idle time (ns)                     |     140237 |     103153 |     153760 |      99896
  Idle time (%)                      |      74.6% |      54.9% |      81.8% |      53.2%
Branch predictor stats               |            |            |            |           
  num correct                        |       5201 |       7026 |       4160 |       7166
  num incorrect                      |         44 |         53 |         15 |         87
  misprediction rate                 |      0.84% |      0.75% |      0.36% |      1.20%
  mpki                               |       0.59 |       0.62 |       0.22 |       1.01
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |      16480 |      20152 |      14345 |      20499
    num cache misses                 |         16 |         16 |         16 |         16
    miss rate                        |      0.10% |      0.08% |      0.11% |      0.08%
    mpki                             |       0.21 |       0.19 |       0.24 |       0.19
  Cache L1-D                         |            |            |            |           
    num cache accesses               |      46745 |      52245 |      43527 |      52775
    num cache misses                 |       1559 |       2556 |       1243 |       2559
    miss rate                        |      3.34% |      4.89% |      2.86% |      4.85%
    mpki                             |      20.95 |      29.93 |      18.29 |      29.60
  Cache L2                           |            |            |            |           
    num cache accesses               |       1685 |       2817 |       1408 |       2794
    num cache misses                 |       1575 |       2572 |       1260 |       2575
    miss rate                        |     93.47% |     91.30% |     89.49% |     92.16%
    mpki                             |      21.16 |      30.11 |      18.54 |      29.78
  Cache L3                           |            |            |            |           
    num cache accesses               |       1685 |       2817 |       1408 |       2794
    num cache misses                 |       1575 |       2572 |       1260 |       2575
    miss rate                        |     93.47% |     91.30% |     89.49% |     92.16%
    mpki                             |      21.16 |      30.11 |      18.54 |      29.78
DRAM summary                         |            |            |            |           
  num dram accesses                  |        167 |          0 |          0 |          0
  average dram access latency (ns)   |      96.03 |        inf |        inf |        inf
  average dram queueing delay        |      42.60 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |         28 |         18 |         31 |         29
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |        100 |        213 |        124 |        232
