                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |      90808 |      72972 |      78918 |      93980
  Cycles                             |     476957 |     476957 |     476957 |     476957
  IPC                                |       0.19 |       0.15 |       0.17 |       0.20
  Time (ns)                          |     179307 |     179307 |     179307 |     179307
  Idle time (ns)                     |     102144 |     139090 |     117891 |     100799
  Idle time (%)                      |      57.0% |      77.6% |      65.7% |      56.2%
Branch predictor stats               |            |            |            |           
  num correct                        |       8895 |       5367 |       6511 |       9531
  num incorrect                      |         72 |         39 |         84 |         76
  misprediction rate                 |      0.80% |      0.72% |      1.27% |      0.79%
  mpki                               |       0.79 |       0.53 |       1.06 |       0.81
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |      23924 |      16806 |      19184 |      25205
    num cache misses                 |         16 |         16 |         16 |         16
    miss rate                        |      0.07% |      0.10% |      0.08% |      0.06%
    mpki                             |       0.18 |       0.22 |       0.20 |       0.17
  Cache L1-D                         |            |            |            |           
    num cache accesses               |      57911 |      47226 |      50793 |      59827
    num cache misses                 |       2456 |       1225 |       1920 |       2334
    miss rate                        |      4.24% |      2.59% |      3.78% |      3.90%
    mpki                             |      27.05 |      16.79 |      24.33 |      24.84
  Cache L2                           |            |            |            |           
    num cache accesses               |       2485 |       1268 |       1949 |       2388
    num cache misses                 |       2472 |       1241 |       1936 |       2350
    miss rate                        |     99.48% |     97.87% |     99.33% |     98.41%
    mpki                             |      27.22 |      17.01 |      24.53 |      25.01
  Cache L3                           |            |            |            |           
    num cache accesses               |       2485 |       1268 |       1949 |       2388
    num cache misses                 |         16 |         14 |          7 |          8
    miss rate                        |      0.64% |      1.10% |      0.36% |      0.34%
    mpki                             |       0.18 |       0.19 |       0.09 |       0.09
DRAM summary                         |            |            |            |           
  num dram accesses                  |         39 |          0 |          0 |          0
  average dram access latency (ns)   |     121.07 |        inf |        inf |        inf
  average dram queueing delay        |      67.64 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          4 |          5 |          5 |          4
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
