                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |     248669 |     252517 |     252377 |     275928
  Cycles                             |     398675 |     398675 |     398675 |     398675
  IPC                                |       0.62 |       0.63 |       0.63 |       0.69
  Time (ns)                          |     149878 |     149878 |     149878 |     149878
  Idle time (ns)                     |     104430 |     101717 |     104683 |      99836
  Idle time (%)                      |      69.7% |      67.9% |      69.8% |      66.6%
Branch predictor stats               |            |            |            |           
  num correct                        |      40307 |      41017 |      41075 |      45743
  num incorrect                      |        232 |        298 |        212 |        252
  misprediction rate                 |      0.57% |      0.72% |      0.51% |      0.55%
  mpki                               |       0.93 |       1.18 |       0.84 |       0.91
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |      87068 |      88623 |      88567 |      97983
    num cache misses                 |         16 |         17 |         17 |         16
    miss rate                        |      0.02% |      0.02% |      0.02% |      0.02%
    mpki                             |       0.06 |       0.07 |       0.07 |       0.06
  Cache L1-D                         |            |            |            |           
    num cache accesses               |     152627 |     154951 |     154866 |     168997
    num cache misses                 |      39770 |      37183 |      39081 |      40238
    miss rate                        |     26.06% |     24.00% |     25.24% |     23.81%
    mpki                             |     159.93 |     147.25 |     154.85 |     145.83
  Cache L2                           |            |            |            |           
    num cache accesses               |      39895 |      37375 |      39244 |      40337
    num cache misses                 |         16 |         12 |          8 |         10
    miss rate                        |      0.04% |      0.03% |      0.02% |      0.02%
    mpki                             |       0.06 |       0.05 |       0.03 |       0.04
  Cache L3                           |            |            |            |           
    num cache accesses               |         17 |         16 |         11 |         13
    num cache misses                 |         16 |         12 |          8 |         10
    miss rate                        |     94.12% |     75.00% |     72.73% |     76.92%
    mpki                             |       0.06 |       0.05 |       0.03 |       0.04
DRAM summary                         |            |            |            |           
  num dram accesses                  |         39 |          0 |          0 |          0
  average dram access latency (ns)   |     109.79 |        inf |        inf |        inf
  average dram queueing delay        |      56.36 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          3 |          5 |          3 |          4
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
