                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |      87289 |      84668 |      84745 |      82121
  Cycles                             |     514816 |     514816 |     514816 |     514816
  IPC                                |       0.17 |       0.16 |       0.16 |       0.16
  Time (ns)                          |     193540 |     193540 |     193540 |     193540
  Idle time (ns)                     |     118861 |     100887 |     105035 |     108923
  Idle time (%)                      |      61.4% |      52.1% |      54.3% |      56.3%
Branch predictor stats               |            |            |            |           
  num correct                        |       8194 |       7653 |       7694 |       7174
  num incorrect                      |         70 |         79 |         67 |         64
  misprediction rate                 |      0.85% |      1.02% |      0.86% |      0.88%
  mpki                               |       0.80 |       0.93 |       0.79 |       0.78
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |      22516 |      21453 |      21514 |      20471
    num cache misses                 |         16 |         17 |         16 |         16
    miss rate                        |      0.07% |      0.08% |      0.07% |      0.08%
    mpki                             |       0.18 |       0.20 |       0.19 |       0.19
  Cache L1-D                         |            |            |            |           
    num cache accesses               |      55795 |      54221 |      54288 |      52716
    num cache misses                 |       2397 |       2656 |       2633 |       2548
    miss rate                        |      4.30% |      4.90% |      4.85% |      4.83%
    mpki                             |      27.46 |      31.37 |      31.07 |      31.03
  Cache L2                           |            |            |            |           
    num cache accesses               |       2443 |       2724 |       2703 |       2592
    num cache misses                 |       2413 |       2673 |       2650 |       2564
    miss rate                        |     98.77% |     98.13% |     98.04% |     98.92%
    mpki                             |      27.64 |      31.57 |      31.27 |      31.22
  Cache L3                           |            |            |            |           
    num cache accesses               |       2443 |       2724 |       2703 |       2592
    num cache misses                 |       2413 |       2673 |       2650 |       2564
    miss rate                        |     98.77% |     98.13% |     98.04% |     98.92%
    mpki                             |      27.64 |      31.57 |      31.27 |      31.22
DRAM summary                         |            |            |            |           
  num dram accesses                  |         82 |          0 |          0 |          0
  average dram access latency (ns)   |     121.66 |        inf |        inf |        inf
  average dram queueing delay        |      68.23 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          6 |          5 |          8 |          7
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |         32 |         48 |         50 |         21
