                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |     159263 |     157062 |     143705 |     123356
  Cycles                             |     565844 |     565844 |     565844 |     565844
  IPC                                |       0.28 |       0.28 |       0.25 |       0.22
  Time (ns)                          |     212723 |     212723 |     212723 |     212723
  Idle time (ns)                     |     103009 |     100862 |     114531 |     125495
  Idle time (%)                      |      48.4% |      47.4% |      53.8% |      59.0%
Branch predictor stats               |            |            |            |           
  num correct                        |      26775 |      26210 |      22924 |      17826
  num incorrect                      |        286 |        303 |        246 |        262
  misprediction rate                 |      1.06% |      1.14% |      1.06% |      1.45%
  mpki                               |       1.80 |       1.93 |       1.71 |       2.12
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |      57091 |      55997 |      49307 |      39159
    num cache misses                 |         16 |         15 |         16 |         16
    miss rate                        |      0.03% |      0.03% |      0.03% |      0.04%
    mpki                             |       0.10 |       0.10 |       0.11 |       0.13
  Cache L1-D                         |            |            |            |           
    num cache accesses               |      89157 |      88064 |      81369 |      71206
    num cache misses                 |       2942 |       3027 |       2739 |       2348
    miss rate                        |      3.30% |      3.44% |      3.37% |      3.30%
    mpki                             |      18.47 |      19.27 |      19.06 |      19.03
  Cache L2                           |            |            |            |           
    num cache accesses               |       3552 |       3477 |       3422 |       3093
    num cache misses                 |       2959 |       3042 |       2756 |       2367
    miss rate                        |     83.31% |     87.49% |     80.54% |     76.53%
    mpki                             |      18.58 |      19.37 |      19.18 |      19.19
  Cache L3                           |            |            |            |           
    num cache accesses               |       3552 |       3477 |       3422 |       3093
    num cache misses                 |         18 |         11 |          8 |          7
    miss rate                        |      0.51% |      0.32% |      0.23% |      0.23%
    mpki                             |       0.11 |       0.07 |       0.06 |       0.06
DRAM summary                         |            |            |            |           
  num dram accesses                  |         38 |          0 |          0 |          0
  average dram access latency (ns)   |     117.75 |        inf |        inf |        inf
  average dram queueing delay        |      64.32 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          4 |          6 |          4 |          5
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
