                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |     227427 |     231504 |     242002 |     258479
  Cycles                             |     424865 |     424865 |     424865 |     424865
  IPC                                |       0.54 |       0.54 |       0.57 |       0.61
  Time (ns)                          |     159724 |     159724 |     159724 |     159724
  Idle time (ns)                     |     105610 |     105321 |     100831 |     101452
  Idle time (%)                      |      66.1% |      65.9% |      63.1% |      63.5%
Branch predictor stats               |            |            |            |           
  num correct                        |      43622 |      44677 |      47214 |      51415
  num incorrect                      |        469 |        443 |        524 |        433
  misprediction rate                 |      1.06% |      0.98% |      1.10% |      0.84%
  mpki                               |       2.06 |       1.91 |       2.17 |       1.68
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |      91121 |      93204 |      98422 |     106618
    num cache misses                 |         16 |         16 |         16 |         16
    miss rate                        |      0.02% |      0.02% |      0.02% |      0.02%
    mpki                             |       0.07 |       0.07 |       0.07 |       0.06
  Cache L1-D                         |            |            |            |           
    num cache accesses               |     123232 |     125278 |     130523 |     138755
    num cache misses                 |       4548 |       4725 |       5162 |       5164
    miss rate                        |      3.69% |      3.77% |      3.95% |      3.72%
    mpki                             |      20.00 |      20.41 |      21.33 |      19.98
  Cache L2                           |            |            |            |           
    num cache accesses               |       5564 |       5591 |       5960 |       5844
    num cache misses                 |         17 |          8 |         10 |          8
    miss rate                        |      0.31% |      0.14% |      0.17% |      0.14%
    mpki                             |       0.07 |       0.03 |       0.04 |       0.03
  Cache L3                           |            |            |            |           
    num cache accesses               |         18 |         11 |         14 |         11
    num cache misses                 |         17 |          8 |         10 |          8
    miss rate                        |     94.44% |     72.73% |     71.43% |     72.73%
    mpki                             |       0.07 |       0.03 |       0.04 |       0.03
DRAM summary                         |            |            |            |           
  num dram accesses                  |         38 |          0 |          0 |          0
  average dram access latency (ns)   |     122.85 |        inf |        inf |        inf
  average dram queueing delay        |      69.42 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          2 |          4 |          5 |          4
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
