                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |     163907 |     164021 |     163857 |     183601
  Cycles                             |     627823 |     627823 |     627823 |     627823
  IPC                                |       0.26 |       0.26 |       0.26 |       0.29
  Time (ns)                          |     236024 |     236024 |     236024 |     236024
  Idle time (ns)                     |     108162 |     108615 |     104909 |     100746
  Idle time (%)                      |      45.8% |      46.0% |      44.4% |      42.7%
Branch predictor stats               |            |            |            |           
  num correct                        |      28168 |      28227 |      28129 |      33166
  num incorrect                      |        301 |        284 |        342 |        244
  misprediction rate                 |      1.06% |      1.00% |      1.20% |      0.73%
  mpki                               |       1.84 |       1.73 |       2.09 |       1.33
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |      59918 |      59995 |      59913 |      69807
    num cache misses                 |         15 |         16 |         16 |         15
    miss rate                        |      0.03% |      0.03% |      0.03% |      0.02%
    mpki                             |       0.09 |       0.10 |       0.10 |       0.08
  Cache L1-D                         |            |            |            |           
    num cache accesses               |      91967 |      92048 |      91969 |     101839
    num cache misses                 |       3322 |       3364 |       3367 |       3523
    miss rate                        |      3.61% |      3.65% |      3.66% |      3.46%
    mpki                             |      20.27 |      20.51 |      20.55 |      19.19
  Cache L2                           |            |            |            |           
    num cache accesses               |       4213 |       4143 |       4146 |       3912
    num cache misses                 |       3338 |       3380 |       3384 |       3538
    miss rate                        |     79.23% |     81.58% |     81.62% |     90.44%
    mpki                             |      20.37 |      20.61 |      20.65 |      19.27
  Cache L3                           |            |            |            |           
    num cache accesses               |       4213 |       4143 |       4146 |       3912
    num cache misses                 |         21 |          8 |          4 |          7
    miss rate                        |      0.50% |      0.19% |      0.10% |      0.18%
    mpki                             |       0.13 |       0.05 |       0.02 |       0.04
DRAM summary                         |            |            |            |           
  num dram accesses                  |         38 |          0 |          0 |          0
  average dram access latency (ns)   |     116.12 |        inf |        inf |        inf
  average dram queueing delay        |      62.69 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          5 |          4 |          3 |          4
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
