                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |     224935 |     246238 |     239385 |     220977
  Cycles                             |     417949 |     417949 |     417949 |     417949
  IPC                                |       0.54 |       0.59 |       0.57 |       0.53
  Time (ns)                          |     157124 |     157124 |     157124 |     157124
  Idle time (ns)                     |     106809 |     100782 |     101356 |     107056
  Idle time (%)                      |      68.0% |      64.1% |      64.5% |      68.1%
Branch predictor stats               |            |            |            |           
  num correct                        |      43385 |      48659 |      46911 |      42398
  num incorrect                      |        348 |        408 |        444 |        356
  misprediction rate                 |      0.80% |      0.83% |      0.94% |      0.83%
  mpki                               |       1.55 |       1.66 |       1.85 |       1.61
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |      90440 |     101111 |      97689 |      88491
    num cache misses                 |         15 |         15 |         16 |         16
    miss rate                        |      0.02% |      0.01% |      0.02% |      0.02%
    mpki                             |       0.07 |       0.06 |       0.07 |       0.07
  Cache L1-D                         |            |            |            |           
    num cache accesses               |     122498 |     133158 |     129733 |     120529
    num cache misses                 |       4381 |       4570 |       4758 |       4354
    miss rate                        |      3.58% |      3.43% |      3.67% |      3.61%
    mpki                             |      19.48 |      18.56 |      19.88 |      19.70
  Cache L2                           |            |            |            |           
    num cache accesses               |       5275 |       5417 |       5481 |       5063
    num cache misses                 |         19 |          6 |          7 |         14
    miss rate                        |      0.36% |      0.11% |      0.13% |      0.28%
    mpki                             |       0.08 |       0.02 |       0.03 |       0.06
  Cache L3                           |            |            |            |           
    num cache accesses               |         21 |          9 |         10 |         17
    num cache misses                 |         19 |          6 |          7 |         14
    miss rate                        |     90.48% |     66.67% |     70.00% |     82.35%
    mpki                             |       0.08 |       0.02 |       0.03 |       0.06
DRAM summary                         |            |            |            |           
  num dram accesses                  |         38 |          0 |          0 |          0
  average dram access latency (ns)   |     113.28 |        inf |        inf |        inf
  average dram queueing delay        |      59.85 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          4 |          3 |          4 |          4
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
