                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |     122341 |     116341 |     109993 |     107621
  Cycles                             |     558803 |     558803 |     558803 |     558803
  IPC                                |       0.22 |       0.21 |       0.20 |       0.19
  Time (ns)                          |     210076 |     210076 |     210076 |     210076
  Idle time (ns)                     |     121390 |     100833 |     104515 |     110035
  Idle time (%)                      |      57.8% |      48.0% |      49.8% |      52.4%
Branch predictor stats               |            |            |            |           
  num correct                        |      17895 |      16445 |      14867 |      14238
  num incorrect                      |        192 |        145 |        140 |        177
  misprediction rate                 |      1.06% |      0.87% |      0.93% |      1.23%
  mpki                               |       1.57 |       1.25 |       1.27 |       1.64
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |      39156 |      36168 |      33001 |      31819
    num cache misses                 |         15 |         15 |         15 |         15
    miss rate                        |      0.04% |      0.04% |      0.05% |      0.05%
    mpki                             |       0.12 |       0.13 |       0.14 |       0.14
  Cache L1-D                         |            |            |            |           
    num cache accesses               |      71202 |      68211 |      65037 |      63852
    num cache misses                 |       1926 |       2050 |       1846 |       1702
    miss rate                        |      2.70% |      3.01% |      2.84% |      2.67%
    mpki                             |      15.74 |      17.62 |      16.78 |      15.81
  Cache L2                           |            |            |            |           
    num cache accesses               |       2473 |       2441 |       2354 |       2298
    num cache misses                 |       1941 |       2065 |       1861 |       1717
    miss rate                        |     78.49% |     84.60% |     79.06% |     74.72%
    mpki                             |      15.87 |      17.75 |      16.92 |      15.95
  Cache L3                           |            |            |            |           
    num cache accesses               |       2473 |       2441 |       2354 |       2298
    num cache misses                 |       1941 |       2065 |       1861 |       1717
    miss rate                        |     78.49% |     84.60% |     79.06% |     74.72%
    mpki                             |      15.87 |      17.75 |      16.92 |      15.95
DRAM summary                         |            |            |            |           
  num dram accesses                  |       2513 |          0 |          0 |          0
  average dram access latency (ns)   |      63.45 |        inf |        inf |        inf
  average dram queueing delay        |      10.02 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     10.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |        368 |        628 |        705 |        630
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |       1067 |       1082 |        721 |        578
