                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |      98237 |      98213 |      97788 |      97596
  Cycles                             |    1021716 |    1021716 |    1021716 |    1021716
  IPC                                |       0.10 |       0.10 |       0.10 |       0.10
  Time (ns)                          |     384104 |     384104 |     384104 |     384104
  Idle time (ns)                     |     322808 |     321370 |     323449 |     316898
  Idle time (%)                      |      84.0% |      83.7% |      84.2% |      82.5%
Branch predictor stats               |            |            |            |           
  num correct                        |      10874 |      10795 |      10806 |      10777
  num incorrect                      |        465 |        515 |        489 |        473
  misprediction rate                 |      4.10% |      4.55% |      4.33% |      4.20%
  mpki                               |       4.73 |       5.24 |       5.00 |       4.85
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |      17651 |      17679 |      17605 |      17603
    num cache misses                 |         22 |         24 |         25 |         24
    miss rate                        |      0.12% |      0.14% |      0.14% |      0.14%
    mpki                             |       0.22 |       0.24 |       0.26 |       0.25
  Cache L1-D                         |            |            |            |           
    num cache accesses               |      52282 |      52304 |      52099 |      52061
    num cache misses                 |       1619 |       1651 |       1653 |       1862
    miss rate                        |      3.10% |      3.16% |      3.17% |      3.58%
    mpki                             |      16.48 |      16.81 |      16.90 |      19.08
  Cache L2                           |            |            |            |           
    num cache accesses               |       2164 |       2165 |       2147 |       2429
    num cache misses                 |       1647 |       1677 |       1683 |       1892
    miss rate                        |     76.11% |     77.46% |     78.39% |     77.89%
    mpki                             |      16.77 |      17.08 |      17.21 |      19.39
  Cache L3                           |            |            |            |           
    num cache accesses               |       2164 |       2165 |       2147 |       2429
    num cache misses                 |         24 |         17 |         18 |         10
    miss rate                        |      1.11% |      0.79% |      0.84% |      0.41%
    mpki                             |       0.24 |       0.17 |       0.18 |       0.10
DRAM summary                         |            |            |            |           
  num dram accesses                  |         57 |          0 |          0 |          0
  average dram access latency (ns)   |     157.30 |        inf |        inf |        inf
  average dram queueing delay        |     103.87 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          6 |          7 |          8 |          4
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
