                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |      97691 |      97397 |      97226 |      96557
  Cycles                             |     726988 |     726988 |     726988 |     726988
  IPC                                |       0.13 |       0.13 |       0.13 |       0.13
  Time (ns)                          |     273304 |     273304 |     273304 |     273304
  Idle time (ns)                     |     248260 |     248096 |     248773 |     249817
  Idle time (%)                      |      90.8% |      90.8% |      91.0% |      91.4%
Branch predictor stats               |            |            |            |           
  num correct                        |      10857 |      10835 |      10828 |      10831
  num incorrect                      |        439 |        439 |        413 |        369
  misprediction rate                 |      3.89% |      3.89% |      3.67% |      3.29%
  mpki                               |       4.49 |       4.51 |       4.25 |       3.82
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |      17599 |      17561 |      17566 |      17460
    num cache misses                 |         22 |         25 |         24 |         25
    miss rate                        |      0.13% |      0.14% |      0.14% |      0.14%
    mpki                             |       0.23 |       0.26 |       0.25 |       0.26
  Cache L1-D                         |            |            |            |           
    num cache accesses               |      52079 |      51942 |      51910 |      51603
    num cache misses                 |       1508 |       1674 |       1502 |       1479
    miss rate                        |      2.90% |      3.22% |      2.89% |      2.87%
    mpki                             |      15.44 |      17.19 |      15.45 |      15.32
  Cache L2                           |            |            |            |           
    num cache accesses               |       2009 |       2282 |       2051 |       1998
    num cache misses                 |         25 |         10 |          8 |         19
    miss rate                        |      1.24% |      0.44% |      0.39% |      0.95%
    mpki                             |       0.26 |       0.10 |       0.08 |       0.20
  Cache L3                           |            |            |            |           
    num cache accesses               |         26 |         13 |         11 |         23
    num cache misses                 |         25 |         10 |          8 |         19
    miss rate                        |     96.15% |     76.92% |     72.73% |     82.61%
    mpki                             |       0.26 |       0.10 |       0.08 |       0.20
DRAM summary                         |            |            |            |           
  num dram accesses                  |         57 |          0 |          0 |          0
  average dram access latency (ns)   |     182.05 |        inf |        inf |        inf
  average dram queueing delay        |     128.62 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          6 |          4 |          4 |          7
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
