                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |      98365 |      98723 |      98348 |      98770
  Cycles                             |    1126172 |    1126172 |    1126172 |    1126172
  IPC                                |       0.09 |       0.09 |       0.09 |       0.09
  Time (ns)                          |     423373 |     423373 |     423373 |     423373
  Idle time (ns)                     |     344636 |     331379 |     336608 |     328633
  Idle time (%)                      |      81.4% |      78.3% |      79.5% |      77.6%
Branch predictor stats               |            |            |            |           
  num correct                        |      10845 |      10841 |      10853 |      10782
  num incorrect                      |        487 |        478 |        472 |        565
  misprediction rate                 |      4.30% |      4.22% |      4.17% |      4.98%
  mpki                               |       4.95 |       4.84 |       4.80 |       5.72
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |      17680 |      17719 |      17670 |      17723
    num cache misses                 |         24 |         25 |         24 |         25
    miss rate                        |      0.14% |      0.14% |      0.14% |      0.14%
    mpki                             |       0.24 |       0.25 |       0.24 |       0.25
  Cache L1-D                         |            |            |            |           
    num cache accesses               |      52342 |      52536 |      52340 |      52525
    num cache misses                 |       2576 |       2615 |       2426 |       2752
    miss rate                        |      4.92% |      4.98% |      4.64% |      5.24%
    mpki                             |      26.19 |      26.49 |      24.67 |      27.86
  Cache L2                           |            |            |            |           
    num cache accesses               |       3834 |       3959 |       3648 |       4165
    num cache misses                 |       2604 |       2663 |       2477 |       2804
    miss rate                        |     67.92% |     67.26% |     67.90% |     67.32%
    mpki                             |      26.47 |      26.97 |      25.19 |      28.39
  Cache L3                           |            |            |            |           
    num cache accesses               |       3834 |       3959 |       3648 |       4165
    num cache misses                 |       2604 |       2663 |       2477 |       2804
    miss rate                        |     67.92% |     67.26% |     67.90% |     67.32%
    mpki                             |      26.47 |      26.97 |      25.19 |      28.39
DRAM summary                         |            |            |            |           
  num dram accesses                  |       1056 |          0 |          0 |          0
  average dram access latency (ns)   |      75.31 |        inf |        inf |        inf
  average dram queueing delay        |      21.88 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      2.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |        176 |        192 |        165 |        195
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |       1338 |       1384 |       1302 |       1460
