                                     | Core 0    
  Instructions                       |      67045
  Cycles                             |     289750
  IPC                                |       0.23
  Time (ns)                          |     108929
  Idle time (ns)                     |      97535
  Idle time (%)                      |      89.5%
Branch predictor stats               |           
  num correct                        |       4009
  num incorrect                      |          5
  misprediction rate                 |      0.12%
  mpki                               |       0.07
TLB Summary                          |           
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |      14016
    num cache misses                 |         14
    miss rate                        |      0.10%
    mpki                             |       0.21
  Cache L1-D                         |           
    num cache accesses               |      43053
    num cache misses                 |         10
    miss rate                        |      0.02%
    mpki                             |       0.15
  Cache L2                           |           
    num cache accesses               |         26
    num cache misses                 |         24
    miss rate                        |     92.31%
    mpki                             |       0.36
  Cache L3                           |           
    num cache accesses               |         26
    num cache misses                 |         24
    miss rate                        |     92.31%
    mpki                             |       0.36
DRAM summary                         |           
  num dram accesses                  |         24
  average dram access latency (ns)   |     134.56
  average dram queueing delay        |      81.13
  average dram bandwidth utilization |      0.00%
Coherency Traffic                    |           
  num loads from dram                |          6
  num loads from dram cache          |          0
  num loads from remote cache        |          0
