                                     | Core 0     | Core 1    
  Instructions                       |    4651477 |    4496360
  Cycles                             |    7079479 |    7079479
  IPC                                |       0.66 |       0.64
  Time (ns)                          |    2661458 |    2661458
  Idle time (ns)                     |      99893 |     158023
  Idle time (%)                      |       3.8% |       5.9%
Branch predictor stats               |            |           
  num correct                        |     652300 |     626440
  num incorrect                      |        286 |        292
  misprediction rate                 |      0.04% |      0.05%
  mpki                               |       0.06 |       0.06
TLB Summary                          |            |           
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |    1311160 |    1259455
    num cache misses                 |         14 |         17
    miss rate                        |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00
  Cache L1-D                         |            |           
    num cache accesses               |    2582769 |    2505210
    num cache misses                 |       4033 |       3915
    miss rate                        |      0.16% |      0.16%
    mpki                             |       0.87 |       0.87
  Cache L2                           |            |           
    num cache accesses               |       4048 |       4054
    num cache misses                 |          6 |         27
    miss rate                        |      0.15% |      0.67%
    mpki                             |       0.00 |       0.01
  Cache L3                           |            |           
    num cache accesses               |          7 |         31
    num cache misses                 |          6 |         27
    miss rate                        |     85.71% |     87.10%
    mpki                             |       0.00 |       0.01
DRAM summary                         |            |           
  num dram accesses                  |         31 |          0
  average dram access latency (ns)   |      91.46 |        inf
  average dram queueing delay        |      38.03 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |          1 |          8
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
