                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |    7203283 |    5930567 |    6757496 |    6865666
  Cycles                             |   13950471 |   13950471 |   13950471 |   13950471
  IPC                                |       0.52 |       0.43 |       0.48 |       0.49
  Time (ns)                          |    5244538 |    5244538 |    5244538 |    5244538
  Idle time (ns)                     |      99791 |     893140 |     379213 |     331840
  Idle time (%)                      |       1.9% |      17.0% |       7.2% |       6.3%
Branch predictor stats               |            |            |            |           
  num correct                        |    1077507 |     865377 |    1003162 |    1021204
  num incorrect                      |        380 |        395 |        432 |        419
  misprediction rate                 |      0.04% |      0.05% |      0.04% |      0.04%
  mpki                               |       0.05 |       0.07 |       0.06 |       0.06
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |    2161762 |    1737539 |    2013182 |    2049238
    num cache misses                 |         14 |         17 |         16 |         16
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |           
    num cache accesses               |    3858672 |    3222325 |    3635790 |    3689874
    num cache misses                 |     912956 |     731663 |     843513 |     844203
    miss rate                        |     23.66% |     22.71% |     23.20% |     22.88%
    mpki                             |     126.74 |     123.37 |     124.83 |     122.96
  Cache L2                           |            |            |            |           
    num cache accesses               |     913051 |     731761 |     843619 |     844287
    num cache misses                 |         24 |          7 |          5 |          5
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  Cache L3                           |            |            |            |           
    num cache accesses               |         26 |         10 |          8 |          8
    num cache misses                 |         24 |          7 |          5 |          5
    miss rate                        |     92.31% |     70.00% |     62.50% |     62.50%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
DRAM summary                         |            |            |            |           
  num dram accesses                  |         39 |          0 |          0 |          0
  average dram access latency (ns)   |     108.46 |        inf |        inf |        inf
  average dram queueing delay        |      55.04 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          5 |          4 |          3 |          3
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
