                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |      97191 |      94725 |     106915 |      93510 |     112117 |     103994 |      95940 |     114363
  Cycles                             |     708022 |     708022 |     708022 |     708022 |     708022 |     708022 |     708022 |     708022
  IPC                                |       0.14 |       0.13 |       0.15 |       0.13 |       0.16 |       0.15 |       0.14 |       0.16
  Time (ns)                          |     266174 |     266174 |     266174 |     266174 |     266174 |     266174 |     266174 |     266174
  Idle time (ns)                     |     123169 |     140103 |     105699 |     154355 |     101103 |     120200 |     144920 |     118070
  Idle time (%)                      |      46.3% |      52.6% |      39.7% |      58.0% |      38.0% |      45.2% |      54.4% |      44.4%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |       8915 |       8533 |      10549 |       8359 |      11352 |      10058 |       8718 |      11775
  num incorrect                      |        124 |        100 |        116 |         66 |        179 |        120 |        112 |        131
  misprediction rate                 |      1.37% |      1.16% |      1.09% |      0.78% |      1.55% |      1.18% |      1.27% |      1.10%
  mpki                               |       1.28 |       1.06 |       1.08 |       0.71 |       1.60 |       1.15 |       1.17 |       1.15
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |      24068 |      23255 |      27319 |      22839 |      29049 |      26345 |      23649 |      29801
    num cache misses                 |         16 |         17 |         17 |         17 |         16 |         17 |         17 |         17
    miss rate                        |      0.07% |      0.07% |      0.06% |      0.07% |      0.06% |      0.06% |      0.07% |      0.06%
    mpki                             |       0.16 |       0.18 |       0.16 |       0.18 |       0.14 |       0.16 |       0.18 |       0.15
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |      58127 |      56898 |      62994 |      56274 |      65593 |      61533 |      57489 |      66717
    num cache misses                 |       7789 |       6365 |       7799 |       6070 |       7705 |       7491 |       6451 |       8159
    miss rate                        |     13.40% |     11.19% |     12.38% |     10.79% |     11.75% |     12.17% |     11.22% |     12.23%
    mpki                             |      80.14 |      67.19 |      72.95 |      64.91 |      68.72 |      72.03 |      67.24 |      71.34
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |       7930 |       6502 |       7950 |       6283 |       7876 |       7697 |       6648 |       8409
    num cache misses                 |       4732 |       3679 |       4704 |       3216 |       4550 |       4179 |       3463 |       3973
    miss rate                        |     59.67% |     56.58% |     59.17% |     51.19% |     57.77% |     54.29% |     52.09% |     47.25%
    mpki                             |      48.69 |      38.84 |      44.00 |      34.39 |      40.58 |      40.19 |      36.10 |      34.74
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |       4779 |       3743 |       4795 |       3326 |       4645 |       4314 |       3589 |       4097
    num cache misses                 |         23 |          4 |          5 |          6 |          7 |          5 |          5 |          4
    miss rate                        |      0.48% |      0.11% |      0.10% |      0.18% |      0.15% |      0.12% |      0.14% |      0.10%
    mpki                             |       0.24 |       0.04 |       0.05 |       0.06 |       0.06 |       0.05 |       0.05 |       0.03
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |         56 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     181.49 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |     128.06 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          5 |          3 |          4 |          4 |          4 |          3 |          4 |          4
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
