                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |     138237 |     112931 |     125558 |     134027 |     106364 |     130478 |     135668 |     130323 |     139060 |      98565 |     135951 |     128215 |     106630 |     120682 |     128409 |     125498
  Cycles                             |    1351447 |    1351447 |    1351447 |    1351447 |    1351447 |    1351447 |    1351447 |    1351447 |    1351447 |    1351447 |    1351447 |    1351447 |    1351447 |    1351447 |    1351447 |    1351447
  IPC                                |       0.10 |       0.08 |       0.09 |       0.10 |       0.08 |       0.10 |       0.10 |       0.10 |       0.10 |       0.07 |       0.10 |       0.09 |       0.08 |       0.09 |       0.10 |       0.09
  Time (ns)                          |     508063 |     508063 |     508063 |     508063 |     508063 |     508063 |     508063 |     508063 |     508063 |     508063 |     508063 |     508063 |     508063 |     508063 |     508063 |     508063
  Idle time (ns)                     |       4608 |     142285 |      54560 |      10908 |     182587 |      38713 |      13191 |      26668 |       5123 |     251084 |      16406 |      52289 |     196810 |     108205 |      52579 |      74178
  Idle time (%)                      |       0.9% |      28.0% |      10.7% |       2.1% |      35.9% |       7.6% |       2.6% |       5.2% |       1.0% |      49.4% |       3.2% |      10.3% |      38.7% |      21.3% |      10.3% |      14.6%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |      15700 |      11557 |      13642 |      15032 |      10442 |      14426 |      15292 |      14397 |      15892 |       9193 |      15345 |      14071 |      10454 |      12840 |      14084 |      13626
  num incorrect                      |        179 |        111 |        126 |        152 |        127 |        162 |        161 |        165 |        127 |         81 |        160 |        143 |        159 |        113 |        164 |        137
  misprediction rate                 |      1.13% |      0.95% |      0.92% |      1.00% |      1.20% |      1.11% |      1.04% |      1.13% |      0.79% |      0.87% |      1.03% |      1.01% |      1.50% |      0.87% |      1.15% |      1.00%
  mpki                               |       1.29 |       0.98 |       1.00 |       1.13 |       1.19 |       1.24 |       1.19 |       1.27 |       0.91 |       0.82 |       1.18 |       1.12 |       1.49 |       0.94 |       1.28 |       1.09
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      37746 |      29334 |      33530 |      36366 |      27132 |      35170 |      36900 |      35118 |      38032 |      24543 |      37005 |      34421 |      27223 |      31901 |      34491 |      33522
    num cache misses                 |         14 |         16 |         17 |         16 |         17 |         17 |         17 |         17 |         17 |         16 |         16 |         16 |         17 |         17 |         16 |         16
    miss rate                        |      0.04% |      0.05% |      0.05% |      0.04% |      0.06% |      0.05% |      0.05% |      0.05% |      0.04% |      0.07% |      0.04% |      0.05% |      0.06% |      0.05% |      0.05% |      0.05%
    mpki                             |       0.10 |       0.14 |       0.14 |       0.12 |       0.16 |       0.13 |       0.13 |       0.13 |       0.12 |       0.16 |       0.12 |       0.12 |       0.16 |       0.14 |       0.12 |       0.13
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      78648 |      66009 |      72313 |      76557 |      62716 |      74773 |      77368 |      74695 |      79070 |      58824 |      77517 |      73648 |      62856 |      69875 |      73746 |      72292
    num cache misses                 |      15735 |      10703 |      13275 |      14230 |       9805 |      13373 |      14082 |      13850 |      15232 |       7721 |      13604 |      13022 |       9269 |      11617 |      13181 |      12398
    miss rate                        |     20.01% |     16.21% |     18.36% |     18.59% |     15.63% |     17.88% |     18.20% |     18.54% |     19.26% |     13.13% |     17.55% |     17.68% |     14.75% |     16.63% |     17.87% |     17.15%
    mpki                             |     113.83 |      94.77 |     105.73 |     106.17 |      92.18 |     102.49 |     103.80 |     106.27 |     109.54 |      78.33 |     100.07 |     101.56 |      86.93 |      96.26 |     102.65 |      98.79
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
