                                     | Core 0    
  Instructions                       |     183045
  Cycles                             |     481031
  IPC                                |       0.38
  Time (ns)                          |     180839
  Idle time (ns)                     |      97494
  Idle time (%)                      |      53.9%
Branch predictor stats               |           
  num correct                        |      13006
  num incorrect                      |          8
  misprediction rate                 |      0.06%
  mpki                               |       0.04
TLB Summary                          |           
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |      32016
    num cache misses                 |         14
    miss rate                        |      0.04%
    mpki                             |       0.08
  Cache L1-D                         |           
    num cache accesses               |     124053
    num cache misses                 |         10
    miss rate                        |      0.01%
    mpki                             |       0.05
  Cache L2                           |           
    num cache accesses               |         26
    num cache misses                 |         24
    miss rate                        |     92.31%
    mpki                             |       0.13
  Cache L3                           |           
    num cache accesses               |         26
    num cache misses                 |         24
    miss rate                        |     92.31%
    mpki                             |       0.13
DRAM summary                         |           
  num dram accesses                  |         24
  average dram access latency (ns)   |     134.56
  average dram queueing delay        |      81.13
  average dram bandwidth utilization |      0.00%
Coherency Traffic                    |           
  num loads from dram                |          6
  num loads from dram cache          |          0
  num loads from remote cache        |          0
