                                     | Core 0     | Core 1    
  Instructions                       |     121586 |     122776
  Cycles                             |     328905 |     328905
  IPC                                |       0.37 |       0.37
  Time (ns)                          |     123649 |     123649
  Idle time (ns)                     |     101205 |     100512
  Idle time (%)                      |      81.8% |      81.3%
Branch predictor stats               |            |           
  num correct                        |      15006 |      15247
  num incorrect                      |        117 |        119
  misprediction rate                 |      0.77% |      0.77%
  mpki                               |       0.96 |       0.97
TLB Summary                          |            |           
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |      36236 |      36723
    num cache misses                 |         16 |         16
    miss rate                        |      0.04% |      0.04%
    mpki                             |       0.13 |       0.13
  Cache L1-D                         |            |           
    num cache accesses               |      76379 |      77104
    num cache misses                 |       3206 |       3118
    miss rate                        |      4.20% |      4.04%
    mpki                             |      26.37 |      25.40
  Cache L2                           |            |           
    num cache accesses               |       3268 |       3271
    num cache misses                 |         19 |         14
    miss rate                        |      0.58% |      0.43%
    mpki                             |       0.16 |       0.11
  Cache L3                           |            |           
    num cache accesses               |         20 |         18
    num cache misses                 |         19 |         14
    miss rate                        |     95.00% |     77.78%
    mpki                             |       0.16 |       0.11
DRAM summary                         |            |           
  num dram accesses                  |         31 |          0
  average dram access latency (ns)   |     105.09 |        inf
  average dram queueing delay        |      51.66 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |          3 |          6
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
