                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |    1284056 |    1447946 |    1022182 |    1205945
  Cycles                             |    1039003 |    1039003 |    1039003 |    1039003
  IPC                                |       1.24 |       1.39 |       0.98 |       1.16
  Time (ns)                          |     390603 |     390603 |     390603 |     390603
  Idle time (ns)                     |     122015 |      99864 |     164855 |     133368
  Idle time (%)                      |      31.2% |      25.6% |      42.2% |      34.1%
Branch predictor stats               |            |            |            |           
  num correct                        |     232816 |     265648 |     180500 |     217193
  num incorrect                      |        401 |        346 |        342 |        408
  misprediction rate                 |      0.17% |      0.13% |      0.19% |      0.19%
  mpki                               |       0.31 |       0.24 |       0.33 |       0.34
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |     472424 |     537977 |     367675 |     441192
    num cache misses                 |         16 |         17 |         17 |         17
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.01 |       0.01 |       0.02 |       0.01
  Cache L1-D                         |            |            |            |           
    num cache accesses               |     784661 |     882989 |     627532 |     737803
    num cache misses                 |     208456 |     238452 |     159834 |     191225
    miss rate                        |     26.57% |     27.01% |     25.47% |     25.92%
    mpki                             |     162.34 |     164.68 |     156.37 |     158.57
  Cache L2                           |            |            |            |           
    num cache accesses               |     208758 |     238656 |     160056 |     191480
    num cache misses                 |         23 |          9 |          8 |          7
    miss rate                        |      0.01% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.02 |       0.01 |       0.01 |       0.01
  Cache L3                           |            |            |            |           
    num cache accesses               |         25 |         10 |          9 |          9
    num cache misses                 |         23 |          9 |          8 |          7
    miss rate                        |     92.00% |     90.00% |     88.89% |     77.78%
    mpki                             |       0.02 |       0.01 |       0.01 |       0.01
DRAM summary                         |            |            |            |           
  num dram accesses                  |         39 |          0 |          0 |          0
  average dram access latency (ns)   |     111.40 |        inf |        inf |        inf
  average dram queueing delay        |      57.97 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          5 |          1 |          3 |          2
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
