                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |     434475 |     404482 |     337242 |     428870 |     429761 |     472237 |     477392 |     711172
  Cycles                             |    2829272 |    2829272 |    2829272 |    2829272 |    2829272 |    2829272 |    2829272 |    2829272
  IPC                                |       0.15 |       0.14 |       0.12 |       0.15 |       0.15 |       0.17 |       0.17 |       0.25
  Time (ns)                          |    1063636 |    1063636 |    1063636 |    1063636 |    1063636 |    1063636 |    1063636 |    1063636
  Idle time (ns)                     |     102073 |     183654 |     430226 |     204113 |     247459 |     162685 |     220228 |     107149
  Idle time (%)                      |       9.6% |      17.3% |      40.4% |      19.2% |      23.3% |      15.3% |      20.7% |      10.1%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |      63068 |      57029 |      43646 |      61986 |      62141 |      70625 |      71669 |     118328
  num incorrect                      |        232 |        272 |        207 |        202 |        219 |        229 |        214 |        313
  misprediction rate                 |      0.37% |      0.47% |      0.47% |      0.32% |      0.35% |      0.32% |      0.30% |      0.26%
  mpki                               |       0.53 |       0.67 |       0.61 |       0.47 |       0.51 |       0.48 |       0.45 |       0.44
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |     132588 |     120587 |      93691 |     130372 |     130710 |     147698 |     149751 |     243272
    num cache misses                 |         14 |         18 |         18 |         16 |         16 |         17 |         18 |         17
    miss rate                        |      0.01% |      0.01% |      0.02% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.03 |       0.04 |       0.05 |       0.04 |       0.04 |       0.04 |       0.04 |       0.02
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |     274911 |     256906 |     216562 |     271565 |     272078 |     297565 |     300652 |     440926
    num cache misses                 |      41959 |      36515 |      27365 |      38687 |      36813 |      42442 |      41185 |      47578
    miss rate                        |     15.26% |     14.21% |     12.64% |     14.25% |     13.53% |     14.26% |     13.70% |     10.79%
    mpki                             |      96.57 |      90.28 |      81.14 |      90.21 |      85.66 |      89.87 |      86.27 |      66.90
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |      42119 |      36622 |      27428 |      38794 |      36932 |      42573 |      41307 |      47748
    num cache misses                 |      27601 |      22700 |      15492 |      22468 |      20620 |      23285 |      20824 |      23508
    miss rate                        |     65.53% |     61.98% |     56.48% |     57.92% |     55.83% |     54.69% |     50.41% |     49.23%
    mpki                             |      63.53 |      56.12 |      45.94 |      52.39 |      47.98 |      49.31 |      43.62 |      33.06
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |      27725 |      22763 |      15511 |      22528 |      20690 |      23357 |      20866 |      23618
    num cache misses                 |          8 |         11 |         10 |          5 |         16 |         10 |          8 |         10
    miss rate                        |      0.03% |      0.05% |      0.06% |      0.02% |      0.08% |      0.04% |      0.04% |      0.04%
    mpki                             |       0.02 |       0.03 |       0.03 |       0.01 |       0.04 |       0.02 |       0.02 |       0.01
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |         57 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     191.96 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |     138.53 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          3 |          5 |          6 |          3 |          4 |          1 |          6 |          2
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
