                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |     443016 |     569433 |     481958 |     498463 |     450864 |     508373 |     481068 |     518756 |     530625 |     490670 |     398461 |     515788 |     517845 |     479627 |     492226 |     522488
  Cycles                             |    6964091 |    6964091 |    6964091 |    6964091 |    6964091 |    6964091 |    6964091 |    6964091 |    6964091 |    6964091 |    6964091 |    6964091 |    6964091 |    6964091 |    6964091 |    6964091
  IPC                                |       0.06 |       0.08 |       0.07 |       0.07 |       0.06 |       0.07 |       0.07 |       0.07 |       0.08 |       0.07 |       0.06 |       0.07 |       0.07 |       0.07 |       0.07 |       0.08
  Time (ns)                          |    2618080 |    2618080 |    2618080 |    2618080 |    2618080 |    2618080 |    2618080 |    2618080 |    2618080 |    2618080 |    2618080 |    2618080 |    2618080 |    2618080 |    2618080 |    2618080
  Idle time (ns)                     |     493088 |       4549 |     222304 |     134614 |     423527 |      93872 |     258723 |      63449 |      34509 |     203679 |     844860 |      61668 |      62317 |     300837 |     233394 |      53677
  Idle time (%)                      |      18.8% |       0.2% |       8.5% |       5.1% |      16.2% |       3.6% |       9.9% |       2.4% |       1.3% |       7.8% |      32.3% |       2.4% |       2.4% |      11.5% |       8.9% |       2.1%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |      64787 |      90046 |      72614 |      75856 |      66375 |      77893 |      72444 |      79960 |      82290 |      74289 |      55942 |      79347 |      79718 |      72146 |      74613 |      80698
  num incorrect                      |        222 |        248 |        185 |        244 |        209 |        189 |        182 |        201 |        242 |        252 |        160 |        218 |        262 |        190 |        242 |        207
  misprediction rate                 |      0.34% |      0.27% |      0.25% |      0.32% |      0.31% |      0.24% |      0.25% |      0.25% |      0.29% |      0.34% |      0.29% |      0.27% |      0.33% |      0.26% |      0.32% |      0.26%
  mpki                               |       0.50 |       0.44 |       0.38 |       0.49 |       0.46 |       0.37 |       0.38 |       0.39 |       0.46 |       0.51 |       0.40 |       0.42 |       0.51 |       0.40 |       0.49 |       0.40
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     136008 |     186579 |     151592 |     158194 |     139163 |     162158 |     151244 |     166317 |     171058 |     155076 |     118199 |     165124 |     165955 |     150667 |     155705 |     167804
    num cache misses                 |         16 |         17 |         17 |         17 |         17 |         17 |         16 |         17 |         17 |         17 |         17 |         17 |         17 |         17 |         17 |         17
    miss rate                        |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.04 |       0.03 |       0.04 |       0.03 |       0.04 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.04 |       0.03 |       0.03 |       0.04 |       0.03 |       0.03
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     280037 |     355891 |     303406 |     313309 |     284760 |     319255 |     302882 |     325496 |     332605 |     308632 |     253319 |     323704 |     324948 |     302017 |     309578 |     327724
    num cache misses                 |      59950 |      67029 |      61653 |      64753 |      56516 |      65239 |      60596 |      65667 |      72274 |      60167 |      44500 |      64682 |      64981 |      58933 |      60960 |      64689
    miss rate                        |     21.41% |     18.83% |     20.32% |     20.67% |     19.85% |     20.43% |     20.01% |     20.17% |     21.73% |     19.49% |     17.57% |     19.98% |     20.00% |     19.51% |     19.69% |     19.74%
    mpki                             |     135.32 |     117.71 |     127.92 |     129.91 |     125.35 |     128.33 |     125.96 |     126.59 |     136.21 |     122.62 |     111.68 |     125.40 |     125.48 |     122.87 |     123.85 |     123.81
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      60101 |      67231 |      61752 |      64883 |      56650 |      65344 |      60706 |      65805 |      72442 |      60322 |      44610 |      64816 |      65165 |      59060 |      61125 |      64796
    num cache misses                 |      59966 |      67046 |      61670 |      64770 |      56534 |      65256 |      60612 |      65684 |      72291 |      60185 |      44517 |      64699 |      64998 |      58950 |      60977 |      64706
    miss rate                        |     99.78% |     99.72% |     99.87% |     99.83% |     99.80% |     99.87% |     99.85% |     99.82% |     99.79% |     99.77% |     99.79% |     99.82% |     99.74% |     99.81% |     99.76% |     99.86%
    mpki                             |     135.36 |     117.74 |     127.96 |     129.94 |     125.39 |     128.36 |     125.99 |     126.62 |     136.24 |     122.66 |     111.72 |     125.44 |     125.52 |     122.91 |     123.88 |     123.84
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      60101 |      67231 |      61752 |      64883 |      56650 |      65344 |      60706 |      65805 |      72442 |      60322 |      44610 |      64816 |      65165 |      59060 |      61125 |      64796
    num cache misses                 |      20386 |      35158 |      32306 |      34592 |      30104 |      36387 |      33982 |      37627 |      27040 |      32820 |      24620 |      36209 |      36839 |      33649 |      35168 |      37965
    miss rate                        |     33.92% |     52.29% |     52.32% |     53.31% |     53.14% |     55.69% |     55.98% |     57.18% |     37.33% |     54.41% |     55.19% |     55.86% |     56.53% |     56.97% |     57.53% |     58.59%
    mpki                             |      46.02 |      61.74 |      67.03 |      69.40 |      66.77 |      71.58 |      70.64 |      72.53 |      50.96 |      66.89 |      61.79 |      70.20 |      71.14 |      70.16 |      71.45 |      72.66
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |         88 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     220.32 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |     166.89 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |          3 |          3 |          4 |          4 |          3 |          4 |          3 |          4 |          3 |          4 |          5 |          3 |          3 |          3 |          3 |          3
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |      10525 |      21514 |      19720 |      20349 |      17532 |      20020 |      18433 |      19634 |      12938 |      17376 |      12944 |      18111 |      18239 |      17315 |      18085 |      20059
