                                     | Core 0     | Core 1    
  Instructions                       |     386263 |     475900
  Cycles                             |     659656 |     659656
  IPC                                |       0.59 |       0.72
  Time (ns)                          |     247991 |     247991
  Idle time (ns)                     |     115772 |      98532
  Idle time (%)                      |      46.7% |      39.7%
Branch predictor stats               |            |           
  num correct                        |      63297 |      85697
  num incorrect                      |        271 |        270
  misprediction rate                 |      0.43% |      0.31%
  mpki                               |       0.70 |       0.57
TLB Summary                          |            |           
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |     130123 |     174913
    num cache misses                 |         16 |         17
    miss rate                        |      0.01% |      0.01%
    mpki                             |       0.04 |       0.04
  Cache L1-D                         |            |           
    num cache accesses               |     225162 |     269972
    num cache misses                 |       1855 |       1975
    miss rate                        |      0.82% |      0.73%
    mpki                             |       4.80 |       4.15
  Cache L2                           |            |           
    num cache accesses               |       2634 |       2637
    num cache misses                 |         21 |         11
    miss rate                        |      0.80% |      0.42%
    mpki                             |       0.05 |       0.02
  Cache L3                           |            |           
    num cache accesses               |         23 |         14
    num cache misses                 |         21 |         11
    miss rate                        |     91.30% |     78.57%
    mpki                             |       0.05 |       0.02
DRAM summary                         |            |           
  num dram accesses                  |         31 |          0
  average dram access latency (ns)   |     105.40 |        inf
  average dram queueing delay        |      51.97 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |          5 |          5
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
