                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |     222828 |     149229 |     252649 |     189476
  Cycles                             |     415968 |     415968 |     415968 |     415968
  IPC                                |       0.54 |       0.36 |       0.61 |       0.46
  Time (ns)                          |     156379 |     156379 |     156379 |     156379
  Idle time (ns)                     |     103015 |     118148 |      99772 |     109151
  Idle time (%)                      |      65.9% |      75.6% |      63.8% |      69.8%
Branch predictor stats               |            |            |            |           
  num correct                        |      42466 |      24137 |      50023 |      34123
  num incorrect                      |        474 |        405 |        370 |        479
  misprediction rate                 |      1.10% |      1.65% |      0.73% |      1.38%
  mpki                               |       2.13 |       2.71 |       1.46 |       2.53
TLB Summary                          |            |            |            |           
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |      88817 |      52031 |     103725 |      72151
    num cache misses                 |         16 |         17 |         17 |         17
    miss rate                        |      0.02% |      0.03% |      0.02% |      0.02%
    mpki                             |       0.07 |       0.11 |       0.07 |       0.09
  Cache L1-D                         |            |            |            |           
    num cache accesses               |     120931 |      84129 |     135837 |     104254
    num cache misses                 |       4553 |       2971 |       4861 |       3966
    miss rate                        |      3.76% |      3.53% |      3.58% |      3.80%
    mpki                             |      20.43 |      19.91 |      19.24 |      20.93
  Cache L2                           |            |            |            |           
    num cache accesses               |       5445 |       3797 |       5399 |       4732
    num cache misses                 |         10 |         14 |         11 |         12
    miss rate                        |      0.18% |      0.37% |      0.20% |      0.25%
    mpki                             |       0.04 |       0.09 |       0.04 |       0.06
  Cache L3                           |            |            |            |           
    num cache accesses               |         11 |         18 |         14 |         15
    num cache misses                 |         10 |         14 |         11 |         12
    miss rate                        |     90.91% |     77.78% |     78.57% |     80.00%
    mpki                             |       0.04 |       0.09 |       0.04 |       0.06
DRAM summary                         |            |            |            |           
  num dram accesses                  |         39 |          0 |          0 |          0
  average dram access latency (ns)   |     144.05 |        inf |        inf |        inf
  average dram queueing delay        |      90.62 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          2 |          6 |          4 |          4
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
