                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |     493468 |     454611 |     543012 |     550306 |     506633 |     511534 |     465478 |     593619
  Cycles                             |     759094 |     759094 |     759094 |     759094 |     759094 |     759094 |     759094 |     759094
  IPC                                |       0.65 |       0.60 |       0.72 |       0.72 |       0.67 |       0.67 |       0.61 |       0.78
  Time (ns)                          |     285374 |     285374 |     285374 |     285374 |     285374 |     285374 |     285374 |     285374
  Idle time (ns)                     |     101124 |     121152 |     108481 |     127791 |     106344 |     113914 |     139748 |     108267
  Idle time (%)                      |      35.4% |      42.5% |      38.0% |      44.8% |      37.3% |      39.9% |      49.0% |      37.9%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |     110344 |     100398 |     122535 |     124379 |     113518 |     114624 |     103162 |     135095
  num incorrect                      |        262 |        501 |        455 |        434 |        387 |        503 |        442 |        550
  misprediction rate                 |      0.24% |      0.50% |      0.37% |      0.35% |      0.34% |      0.44% |      0.43% |      0.41%
  mpki                               |       0.53 |       1.10 |       0.84 |       0.79 |       0.76 |       0.98 |       0.95 |       0.93
TLB Summary                          |            |            |            |            |            |            |            |           
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |     224165 |     204745 |     248925 |     252547 |     230760 |     233191 |     210150 |     274222
    num cache misses                 |         14 |         16 |         16 |         16 |         15 |         15 |         15 |         15
    miss rate                        |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.03 |       0.04 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |     256255 |     236831 |     281014 |     284672 |     262844 |     265291 |     242246 |     306333
    num cache misses                 |       7786 |       7073 |       7939 |       7306 |       7498 |       7372 |       6287 |       7709
    miss rate                        |      3.04% |      2.99% |      2.83% |      2.57% |      2.85% |      2.78% |      2.60% |      2.52%
    mpki                             |      15.78 |      15.56 |      14.62 |      13.28 |      14.80 |      14.41 |      13.51 |      12.99
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |       8427 |       7956 |       8879 |       8107 |       8372 |       8311 |       7132 |       8510
    num cache misses                 |       2457 |       1881 |       1634 |        953 |       2115 |       1747 |       1327 |       1219
    miss rate                        |     29.16% |     23.64% |     18.40% |     11.76% |     25.26% |     21.02% |     18.61% |     14.32%
    mpki                             |       4.98 |       4.14 |       3.01 |       1.73 |       4.17 |       3.42 |       2.85 |       2.05
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |       3028 |       2514 |       2386 |       1327 |       2786 |       2565 |       2011 |       1894
    num cache misses                 |         23 |          5 |          5 |          6 |          6 |          5 |          7 |          5
    miss rate                        |      0.76% |      0.20% |      0.21% |      0.45% |      0.22% |      0.19% |      0.35% |      0.26%
    mpki                             |       0.05 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.02 |       0.01
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |         55 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     188.08 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |     134.65 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          5 |          4 |          4 |          3 |          4 |          4 |          4 |          4
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
